NC_RLTRN_ALL_V2: UH_Thresh: 150.0, u_rad: 5.0, track_on: 220.0 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode, Time, x1, y1, x2, y2, zs_surface, w500m, w1km, w3km, w5km,zvort_suf, zvort500m, zvort1km, zvort3km, zvort5km,UH_Max, UH_Area, UH_X, UH_Y, UHi, UHj,SX, SY, SXi, SYj, meanWnd, meanWnd_dir, rm, rm_dir, lm, lm_dir,shear1km, shear1km_dir, shear3km, shear3km_dir, shear6km, shear6km_dir,srh500m, srh1km, srh3km, sbcape, sbcin, mlcape, mlcin, mucape, mucin,3CAPE, LCL, LFC, LFC-LCL, EL,wA500m, wA1km, wA3km, wA5km, wA8km,zA500m, zA1km, zA3km, zA5km, zA8km,wzA500m, wzA1km, wzA3km, wzA5km, wzA8km, meso_depth, CP_Min, CP_area, dBZ_Area
bool, min, idx, idx, idx, idx, km,ms^-1, ms^-1, ms^-1, ms^-1,s^-1, s^-1, s^-1, s^-1, s^-1,m^2s^-2, m^2s^-2, km, km, idx, idx,km, km, idx, idx, ms^-1, deg, ms^-1, deg, ms^-1, deg,ms^-1, deg, ms^-1, deg, ms^-1, deg,m^2s^-2, m^2s^-2, m^2s^-2, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1,Jkg^-1, hPa, hPa, hPa, hPa,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2, km, K, km^2, km^2
0,0,-90,-135,270,225,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0,10.12500095,470.1250305,40,-120,14.27422047,239.7179515,12.71925854,271.3155218,18.92689042,219.1018358,8.232537927,222.9604239,15.72444081,255.1296313,23.08818678,260.705347,61.66630965,101.9758202,186.3623924,1330.1442,-3.986416688,906.4484136,-15.12122371,1330.1442,-3.986416688,105.6250081,900.2205024,880.5134325,19.70706991,225.4910534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,1190,904,1550,1264,0.544105957,0.222239322,0.257385858,0.213971817,0.073163817,1.72E-05,7.44E-05,6.37E-05,2.94E-06,-3.20E-06,0.226109058,0.021411773,320.125,259.875,1280,1039,330.1250305,229.8750153,1320,919,14.27421474,239.7179515,12.71925695,271.3155319,18.92688347,219.1018221,7.423133316,263.415006,14.73642567,273.3234694,22.31623819,271.0772388,47.73026897,76.61541338,135.5762346,814.0772529,-15.86111341,389.1276138,-39.0084818,814.0772529,-15.86111341,71.78482354,876.8338944,810.6965227,66.13737176,259.2810441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.035339355,0.0625,0
0,10,1168,955,1528,1315,0.512368652,-0.40081996,-0.123126244,0.361491549,0.306241972,-0.000402966,-6.18E-05,-1.59E-05,1.86E-05,1.92E-05,1.738235354,0.152538747,314.625,272.625,1258,1090,324.6250305,242.6250153,1298,970,16.27138138,241.9711763,13.48008827,269.1562873,21.45467259,225.2896271,7.970061992,234.7179389,15.96276019,258.963075,23.88288956,261.640195,52.30401179,93.23103144,166.0104698,1082.637828,-2.905284895,676.557629,-21.02904651,1082.637828,-2.905284895,136.2857481,890.6888608,872.5888073,18.10005352,244.4716839,0,0,0,0,0,0.375,0.1875,0,0,0,0,0,0,0,0,0,-1.223052979,0.8125,0
0,15,1174,956,1534,1316,0.522889099,-0.129290547,0.121249617,0.505681806,0.221447959,-0.000743058,-5.62E-05,6.89E-05,4.56E-05,3.33E-05,2.398531199,0.353635652,316.125,272.875,1264,1091,326.1250305,242.8750153,1304,971,15.02394581,240.7706749,13.90617707,270.5005826,19.2498341,219.7779602,9.272327662,236.4641723,17.46256881,257.3518334,25.56097799,259.2733978,62.52182949,104.4357504,178.8284749,1061.431573,-3.972831632,686.0888889,-15.75330085,1061.431573,-3.972831632,144.313601,889.1684564,871.2073002,17.96115617,247.3580439,0,0,0,0,0,1.0625,0.75,0.4375,0.1875,0,0.125,0,0,0,0,0,-0.869995117,0,0
0,20,1194,831,1554,1191,0.986528748,0.152239927,0.427947785,0.698337433,0.274750064,-0.000297363,-7.38E-05,0.000230646,1.86E-05,-2.51E-05,3.130059242,0.569506816,321.125,241.6250153,1284,966,331.1250305,211.6250153,1324,846,14.97767162,239.9156035,13.8552876,269.7454945,19.21437815,218.8958984,7.287365012,270.4426596,14.28235073,276.3069234,21.8082792,272.0373994,44.31138672,72.09791099,122.5906626,838.067203,-0.008851081,338.2305647,-19.60319392,838.067203,-0.008851081,154.7547342,864.8334783,863.0183157,1.815162639,268.5564986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.949371338,0,0
0,25,1614,1040,1974,1400,0.171715256,0.051772143,0.249311164,0.492841401,0.31010976,-0.000306627,0.000134601,0.000143465,5.13E-05,-2.46E-05,4.175000668,0.271716023,426.1250305,293.875,1704,1175,436.1250305,263.875,1744,1055,17.80644798,242.8126146,15.23663391,267.5127962,22.68224398,226.5105676,9.327135491,235.4993125,16.37953761,258.1293275,23.90152321,262.2107343,83.00811597,127.1799807,178.6842296,1000.534108,-10.43840211,709.0601578,-29.21225572,1000.534108,-10.43840211,90.64236308,891.6970387,835.0070765,56.68996228,241.7367852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.984832764,0,0
0,30,1251,971,1611,1331,0.73972229,-0.88460583,-0.569994984,0.883992989,1.205644176,-0.000432744,-0.000373678,-0.000129043,0.000151169,6.87E-05,3.981946468,0.991487852,335.3750305,276.625,1341,1106,345.3750305,246.6250153,1381,986,15.14183521,239.9712149,13.23290104,269.6600308,19.89825805,220.7399917,6.517457483,274.0922209,12.49756992,285.1863059,18.1216155,283.411249,56.40513819,74.08282721,137.6033052,605.862994,-9.679539471,157.8745446,-27.00138753,605.862994,-9.679539471,62.94452555,850.0247034,823.1652266,26.85947677,269.8930568,0,0,0,0,0,3.6875,2.8125,2.5,2.5625,2.875,0,0,0,0,0,0,-1.206085205,0.0625,0
0,35,1269,966,1629,1326,0.872077881,-0.600165979,-0.351545774,1.158486736,1.339242727,0.000116924,-0.000262771,1.65E-05,7.85E-05,0.000109807,9.151230812,0.992255722,339.8750305,275.375,1359,1101,349.8750305,245.3750153,1399,981,19.12544441,242.212883,14.2643081,262.1249749,25.30997413,231.1465987,8.270191464,293.6974046,13.69571392,301.5861911,19.22262431,293.9205606,31.0790703,70.63459873,111.0291428,568.3335885,-11.72795739,92.55832896,-74.14739764,568.3335885,-11.72795739,41.88558176,851.5323266,798.3005368,53.23178982,267.360637,0,0,0,0,0,3.9375,2.25,2.1875,2.0625,1.375,0,0,0,0,0,0,-1.211730957,0.1875,0
0,40,1275,974,1635,1334,0.750760498,-0.51631189,-0.314345776,0.817979655,0.37690225,-0.000336353,0.000143486,0.000170436,7.64E-05,-5.85E-05,12.05481434,0.665830101,341.3750305,277.375,1365,1109,351.3750305,247.3750153,1405,989,19.31289291,241.6082747,13.33429804,257.8304883,26.08969355,233.3994567,8.981921582,278.0285272,14.37641486,293.1047081,20.4061541,286.6878,43.36646718,89.32830846,131.3429636,498.9764323,-17.65238724,172.1206073,-52.97618444,498.9764323,-17.65238724,28.91543449,844.9508267,783.835789,61.11503761,278.4488662,0,0,0,0,0,3.75,3.1875,3.125,3.0625,2.5,0,0,0,0,0,0,-0.832794189,0,0
