BSS_NC_RLTRN_ALL: UH_Thresh: 150.0, u_rad: 5.0, track_on: 220.0 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode, Time, x1, y1, x2, y2, zs_surface, w500m, w1km, w3km, w5km,zvort_suf, zvort500m, zvort1km, zvort3km, zvort5km,UH_Max, UH_Area, UH_X, UH_Y, UHi, UHj,SX, SY, SXi, SYj, meanWnd, meanWnd_dir, rm, rm_dir, lm, lm_dir,shear1km, shear1km_dir, shear3km, shear3km_dir, shear6km, shear6km_dir,srh500m, srh1km, srh3km, sbcape, sbcin, mlcape, mlcin, mucape, mucin,3CAPE, LCL, LFC, LFC-LCL, EL,wA500m, wA1km, wA3km, wA5km, wA8km,zA500m, zA1km, zA3km, zA5km, zA8km,wzA500m, wzA1km, wzA3km, wzA5km, wzA8km, meso_depth, CP_Min, CP_area, dBZ_Area
bool, min, idx, idx, idx, idx, km,ms^-1, ms^-1, ms^-1, ms^-1,s^-1, s^-1, s^-1, s^-1, s^-1,m^2s^-2, m^2s^-2, km, km, idx, idx,km, km, idx, idx, ms^-1, deg, ms^-1, deg, ms^-1, deg,ms^-1, deg, ms^-1, deg, ms^-1, deg,m^2s^-2, m^2s^-2, m^2s^-2, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1,Jkg^-1, hPa, hPa, hPa, hPa,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2, km, K, km^2, km^2
0,120,1602,958,1962,1318,0.001301918,0.379123147,0.4053043,0.334748305,-0.080627842,-1.88E-07,0.000370854,0.000395612,0.000180946,-6.61E-05,210.985321,3.000081049,423.1250305,273.375,1692,1093,433.1250305,243.3750153,1732,973,14.23595524,239.6679682,12.6948596,271.3532307,18.88558663,218.9925129,7.88304283,225.2048241,15.51616483,256.9828256,23.73423865,258.7743842,60.17106598,95.49960636,176.301799,1098.684712,-7.096176228,897.6100419,-12.76391235,1098.684712,-7.096176228,84.09369234,894.5082311,871.5688054,22.93942578,240.836574,0,0,0,0,0,1.9375,0.9375,1.0625,2.25,3.0625,0,0,0,0,0,1.49473691,-1.219940186,0.125,0
0,125,1407,778,1767,1138,0.010860995,0.033388492,-0.036425927,-0.391606252,0.020466681,0.000315461,0.000227605,-5.01E-05,-8.18E-05,4.42E-05,404.2522583,6.124420061,374.3750305,228.3750153,1497,913,384.3750305,198.3750153,1537,793,14.20234108,240.1907372,13.22931457,271.6700492,18.46342997,218.2184953,7.371414493,210.565543,15.32411288,244.5259402,22.16180924,255.9920657,47.34596718,83.42987096,179.0368674,1245.474247,-3.424566454,986.1224414,-8.688239197,1245.474247,-3.424566454,129.9754785,899.7237945,888.0171495,11.70664496,231.7999409,0,0,0,0,0,0.1875,0.25,1.4375,2.9375,4.5,0,0,0,0,0,1.663157701,-1.059509277,0.25,4.4375
0,130,1615,975,1975,1335,0.028832968,0.104437712,0.192865969,0.260704679,0.274268166,-0.000328954,-1.36E-05,4.16E-05,-1.47E-05,5.61E-05,285.6085205,5.280119913,426.3750305,277.625,1705,1110,436.3750305,247.6250153,1745,990,14.22018719,241.9654526,13.68199235,273.074241,18.15848407,219.0548219,8.464189283,217.6487224,16.53204112,250.1686327,24.34818434,257.9559363,63.93893336,110.7505533,207.2281029,1128.673263,-3.577127131,937.8832352,-9.37934437,1128.673263,-3.577127131,111.1628369,896.3851874,880.7490893,15.6360981,238.1934563,0,0,0,0,0,1.75,1.625,1.25,1.3125,1.5625,0,0,0,0,0,2.394736767,-1.004608154,0.0625,0
0,135,1636,978,1996,1338,0.023337889,-0.045856213,-0.127163866,-0.135513813,-0.07457669,-0.000209872,-6.78E-06,-0.000105525,4.41E-06,8.53E-05,229.1316833,3.695783046,431.6250305,278.375,1726,1113,441.6250305,248.3750153,1766,993,14.13538361,239.8158964,13.16193925,271.4541584,18.40873444,217.7886281,8.997599943,218.5258006,16.13963075,250.9568229,23.63538168,258.1520447,63.40666227,111.2152611,196.3444646,1086.969534,-4.415905057,904.4264512,-13.73843068,1086.969534,-4.415905057,88.10522597,894.7889159,873.0180049,21.77091102,239.1532583,0,0,0,0,0,1.6875,1.625,1.4375,2.125,2.625,0,0,0,0,0,1.747368813,-1.186920166,0.0625,0
0,140,399,805,759,1165,0,-0.04789633,-0.014818314,0.781208324,2.518387814,4.59E-05,-0.000754698,-0.001026381,-0.000707809,-0.000513458,367.9371948,21.54508342,122.3750076,235.1250153,489,940,132.375,205.1250153,529,820,14.24381924,240.4529892,13.31718552,271.8043019,18.46416362,218.4130784,8.538867876,224.3072689,17.57827768,259.1913809,24.39742087,263.5696961,75.38615347,123.6325858,226.6293341,1250.227818,-8.09893815,841.0627449,-19.35712621,1250.227818,-8.09893815,76.79320786,901.9993097,873.6159373,28.38337238,226.7624654,0,0,0,0,0.625,1.375,7.625,18.6875,29.9375,31.875,0,0,1.0625,3.0625,6.4375,0.426316023,-0.351143032,0,64.5625
0,145,336,883,696,1243,0,1.092421007,1.634176825,1.351927609,-0.673056391,0.000474533,3.36E-05,0.00050503,0.000319342,-0.000116048,1292.687378,33.95832703,106.6250076,254.6250153,426,1018,116.6250076,224.6250153,466,898,14.01428223,236.8161456,11.63337029,269.1576482,19.23447174,217.9379867,28.28640949,232.4113566,37.10628611,281.7628238,26.81160547,259.294708,467.7050172,676.9876752,1247.280679,535.4862638,-129.1650025,87.94896828,-290.8326652,535.4862638,-129.1650025,3.340800314,900.7314196,550.2278841,350.5035355,224.1089842,0,0.3125,1.875,18.375,38,22.9375,36.125,55.9375,75.625,91.875,1.875,7.5,15.5,24,30.8125,3.3157897,-1.487579346,70.875,284.375
0,150,319,896,679,1256,0,0.838674846,1.020259456,0.098754997,-0.054074046,6.32E-05,-0.000737148,-0.000431224,-0.000115465,-0.000128275,740.5942383,19.95379378,102.3750076,257.875,409,1031,112.3750076,227.8750153,449,911,17.85914993,228.7018536,14.29761193,252.5397778,23.36614563,214.3841998,19.76769698,239.3305022,22.93458493,252.6564062,29.3577103,279.8188154,318.8219192,429.9797842,631.3512737,97.19662441,-79.13881004,111.2211575,-75.70947681,707.6911877,-0.034385084,0,850.4505792,687.6207851,162.8297941,495.5073122,0,0.8125,4.0625,7.5625,16,33.4375,54.8125,80.0625,92.875,106.8125,1.5625,8.375,14.375,22.625,31.375,2.394736767,-2.234008789,196.375,55.125
0,155,315,905,675,1265,0,1.32885101,1.92350613,1.751749248,1.045511552,0.000446769,0.000559658,0.000512308,-0.000255871,0.000163162,720.3276367,40.3396775,101.3750076,260.125,405,1040,111.3750076,230.1250153,445,920,17.49746132,237.0766764,12.49906576,258.8715418,23.84524391,225.8542614,21.05900897,250.7903575,20.25009204,297.4503613,27.44342992,275.9766974,279.2775808,415.1728854,534.055497,136.1609608,-143.936363,218.9641332,-104.9189302,336.80724,-61.80426712,0,863.451654,609.8467613,253.6048927,338.7334855,0,0,0.1875,1.75,6.4375,41.5625,62.5,81.6875,91.6875,107.4375,0.0625,3.25,10.25,17.75,22.6875,3.299999952,-2.54574585,189.625,12.4375
0,160,339,949,699,1309,0,0.827911399,1.008171156,0.052151704,-2.576105749,6.80E-05,-0.000403847,-0.000110853,-9.51E-05,-8.10E-05,1582.514526,34.55024271,107.3750076,271.125,429,1084,117.3750076,241.1250153,469,964,17.01982689,239.0644254,11.94081811,261.384588,23.43642166,227.9074121,18.85739377,230.2428535,19.73785887,273.6412508,25.62099015,275.3255891,327.1489266,506.4685178,746.645413,600.7016231,-17.89544325,482.991924,-8.707236651,600.7016231,-17.89544325,57.12598273,890.1809373,865.8374212,24.3435161,274.4798907,0,0,0,0.875,1.75,36.3125,60.625,81.625,94.25,104,0,0.9375,3.25,6.5,8.25,1.663157701,-3.03068924,304.9375,166.6875
0,165,347,843,707,1203,0,0.723656882,0.668295255,-1.234247057,-1.719828105,-0.000172451,9.75E-05,0.000276082,0.000534861,0.000213433,442.2641296,9.084499907,109.3750076,244.6250153,437,978,119.3750076,214.6250153,477,858,17.82439804,231.6680408,10.77048917,242.2195062,25.13791703,227.1680766,12.75586475,244.4867076,22.70245037,283.0986859,26.3992476,282.9596369,111.3016444,172.5609505,317.6846414,1036.451674,-27.08405573,602.1213954,-53.04771784,1036.451674,-27.08405573,26.55015125,897.9747243,813.4158412,84.55888313,231.0080501,0,0,0,0.125,0.3125,30.25,42.5,55.8125,62.375,64.5625,0,0.875,2.5625,5.625,8.125,1.152631283,-3.039306641,125.875,74
0,170,468,906,828,1266,0,-0.39720174,-0.287887128,2.077827372,1.110707675,-6.76E-06,0.000201861,0.000295523,-0.001601169,0.000920557,381.3334045,19.05240489,139.625,260.375,558,1041,149.625,230.3750153,598,921,16.77920341,237.0002875,11.34108355,258.5800774,23.38724244,226.7263896,11.36095962,236.86464,26.62319578,275.6376468,34.29344067,278.6972164,122.0492909,215.7605661,507.6042602,1144.339539,-57.81245105,657.7489663,-118.7546019,1144.339539,-57.81245105,6.964315661,901.0078373,733.9643602,167.0434771,219.8343551,0,0,0,0,0,2.5625,5.625,9.5,12.625,19.9375,0,0,0,0,0,1.578947306,-4.105438232,719.5,951.875
0,175,473,837,833,1197,0,0.952413771,1.551604708,3.859590204,3.194799053,-6.63E-05,0.000457538,0.00071409,0.00081019,0.001150499,724.1011963,61.16778758,140.875,243.1250153,563,972,150.875,213.1250153,603,852,17.56858063,229.997035,12.58958896,251.7357229,23.90214059,218.7475629,9.588915432,237.4814744,20.07325488,272.9702667,27.23242461,280.1630842,78.41538076,133.803423,249.5011524,976.6430308,-28.06468154,524.1760073,-65.0245137,976.6430308,-28.06468154,25.10717452,901.179036,795.6696451,105.509391,229.7200384,0,0,0,0,0,1.75,4.875,6.0625,7.8125,8.75,0,0,0,0,0,2.49473691,-4.283874512,447.0625,515.5625
0,180,467,875,827,1235,0,-0.03003489,0.292214131,2.063613468,1.745550317,-9.38E-05,-0.00016046,-0.000545648,0.000129127,0.000938781,662.6914063,33.24481717,139.375,252.6250153,557,1010,149.375,222.6250153,597,890,17.03596687,235.2405576,11.81619495,257.1217889,23.52287896,224.4505891,12.37567358,251.8337372,23.7106032,285.2009498,27.47502097,285.1791342,106.0825219,205.1495315,368.4753656,1012.260423,-79.30404732,503.9078354,-148.2480117,1012.260423,-79.30404732,3.809989117,900.5549957,730.1104777,170.444518,228.398715,0,0,0,0,0,4.875,7.375,14,17.625,18.125,0,0,0,0,0,3.994737148,-4.44342041,753.625,603.375
