BSS_NC_CTL: UH_Thresh: 150.0, u_rad: 5.0, track_on: 100.0 min
Mode, Time, x1, y1, x2, y2, zs_surface, w500m, w1km, w3km, w5km,zvort_suf, zvort500m, zvort1km, zvort3km, zvort5km,UH_Max, UH_Area, UH_X, UH_Y, UHi, UHj,SX, SY, SXi, SYj, meanWnd, meanWnd_dir, rm, rm_dir, lm, lm_dir,shear1km, shear1km_dir, shear3km, shear3km_dir, shear6km, shear6km_dir,srh500m, srh1km, srh3km, sbcape, sbcin, mlcape, mlcin, mucape, mucin,3CAPE, LCL, LFC, LFC-LCL, EL,wA500m, wA1km, wA3km, wA5km, wA8km,zA500m, zA1km, zA3km, zA5km, zA8km,wzA500m, wzA1km, wzA3km, wzA5km, wzA8km, meso_depth, CP_Min, CP_area, dBZ_Area
bool, min, idx, idx, idx, idx, km,ms^-1, ms^-1, ms^-1, ms^-1,s^-1, s^-1, s^-1, s^-1, s^-1,m^2s^-2, m^2s^-2, km, km, idx, idx,km, km, idx, idx, ms^-1, deg, ms^-1, deg, ms^-1, deg,ms^-1, deg, ms^-1, deg, ms^-1, deg,m^2s^-2, m^2s^-2, m^2s^-2, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1,Jkg^-1, hPa, hPa, hPa, hPa,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2, km, K, km^2, km^2
0, 0.0, -90, -135, 270, 225, 0.04999999701976776,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.125, 0.125, 0, 0,10.125000953674316, 370.1250305175781, 40, -120, 14.27422046661377, 239.7179515123546, 12.719258548439216, 271.31552175478237, 18.926890417307263, 219.10183579421616,8.23253792673326, 222.96042389318683, 15.72444081378443, 255.12963133670638, 23.088186776407937, 260.7053469826196,61.6663099461031, 101.97581978158104, 186.36239195617708, 1330.144199615202, -3.986416688047849, 906.4484135882863, -15.121223708116524, 1330.144199615202, -3.986416688047849,105.62500814013582, 900.2205023981514, 880.5134324883086, 19.707069909842858, 225.49105336216405,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0
0, 5.0, 167, 481, 527, 841, 0.04999999701976776,1.8479667727649212, 3.1537925212085245, 4.151844807639718, 2.278237959444523,-1.2667031980839739e-05, -7.799482839914155e-05, -6.255124121395283e-05, 0.0001380360106918488, 3.646410772432773e-05,3.8473007678985596, 1.8244920579181063, 64.375, 154.125, 257, 616,74.375, 124.12500762939453, 297, 496, 14.274210929870605, 239.71792419159792, 12.719245617569287, 271.3155169885307, 18.926885288729178, 219.1018094613864,8.657120687261894, 222.96684427100664, 30.196213149579172, 270.10814420636166, 35.19709789467782, 270.50333895173856,124.03898381426191, 194.34998898096225, 454.1806691200042, 1391.8909663830511, -3.58266640259264, 970.4466210048014, -13.365375428438856, 1391.8909663830511, -3.58266640259264,118.64826401413828, 899.8979605443725, 882.4747027484126, 17.4232577959599, 225.3318298300456,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.25,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,-0.05812712758779526, 0.0, 0.0
0, 10.0, 188, 545, 548, 905, 0.04999999701976776,2.8021768860891463, 3.993167231604457, 7.386271809437313, 3.088841178091243,0.0004576311245560305, 0.0004153662834301031, 0.000263519017555609, 7.96043896974652e-05, -3.7815798431211076e-05,13.863679885864258, 6.891669057122202, 69.625, 170.12501525878906, 278, 680,79.625, 140.125, 318, 560, 14.116522789001465, 228.04022682422206, 9.503623795846536, 257.6205698016464, 20.511790576576967, 214.81866378308894,33.01655658162734, 269.5875845264926, 44.202144696015566, 276.3476176358167, 45.89117030678857, 275.4051061718683,145.4724081965139, 389.14595941628306, 545.7104271342449, 13.585406896536359, -208.36490406204194, 0, 0, 13.585406896536359, -208.36490406204194,0, 780.8188268165427, 560.5701011669668, 220.24872564957593, 462.0642416939288,0.0, 0.0, 0.0, 2.25, 13.875,0.0, 0.75, 8.625, 14.5, 14.375,0.0, 0.0, 0.5, 2.875, 8.0625, 0.0,-0.9314070343971252, 0.0, 0.0
0, 15.0, 190, 552, 550, 912, 0.04999999701976776,2.9208168638107606, 4.040592024268117, 7.630250480137765, 3.4731055990909225,0.000525158990296859, 0.0007322422046922839, 0.0005020180332257951, 0.0003585606312484657, 0.0003128453887771343,37.47832489013672, 13.217597394129262, 70.125, 171.87501525878906, 280, 687,80.125, 141.875, 320, 567, 14.623149871826172, 231.2988964168568, 10.242281521228735, 260.10119930553736, 20.863093734167045, 217.61743311798102,26.16811464617056, 260.31670921884586, 37.65398659374314, 274.07681196321926, 35.070253043231176, 268.417955612263,158.843928167339, 303.15806129321555, 508.72434789406935, 0, 0, 0, 0, 0, 0,0, 714.2175144801399, nan, nan, nan,0.0, 0.0, 0.125, 8.3125, 21.6875,8.0625, 17.6875, 28.75, 32.625, 32.5625,0.125, 1.3125, 3.0, 5.875, 9.6875, 1.215789556503296,-0.17201338708400726, 0.0, 0.0
0, 20.0, 182, 598, 542, 958, 0.04999999701976776,3.016493670635391, 4.374567633541301, 5.404509124532342, 0.21409985986538232,0.000670416213762337, -0.0002529072895868012, -4.49635432642026e-05, -0.000716994020438051, 6.85435202401763e-05,285.86358642578125, 7.5117075644237055, 68.125, 183.37501525878906, 272, 733,78.125, 153.375, 312, 613, 18.78911781311035, 227.49609297380383, 12.549155003620713, 243.06952953916633, 25.711487842537938, 219.96667547568896,28.26275220320227, 255.45414728455205, 53.57591419771376, 267.08710691286433, 54.00114385277219, 282.8676752363758,430.55829133569875, 680.7310056318004, 1065.5619453015383, 422.47367857418675, 0, 318.7553524876368, -82.4437103165792, 754.0771183478982, -1.0269760735467663,3.004467039351221, 797.131883121256, 582.3470135226822, 214.78486959857378, 297.5135200948671,0.0, 0.125, 2.375, 8.875, 16.125,11.25, 20.75, 35.25, 49.0625, 59.125,0.75, 4.125, 10.875, 16.1875, 22.75, 1.6105263233184814,-0.246734619140625, 0.0, 171.8125
0, 25.0, 191, 510, 551, 870, 0.04999999701976776,1.3668947971845045, 1.8920567036094145, 2.5041898239124567, -0.6388249661790906,0.0004270180114346545, 0.0003847626762853906, -6.94566421861964e-05, -0.0004540215478891696, 0.0003342692979819617,430.0141906738281, 20.651846799580234, 70.375, 161.37501525878906, 281, 645,80.37500762939453, 131.375, 321, 525, 19.146724700927734, 220.65494818036237, 12.31121883359296, 232.19243219326344, 26.346308279145447, 215.29219218150223,22.6969396653936, 251.99857699852416, 33.23158562924125, 290.16454391161886, 25.666101757888228, 277.26477543756596,305.296055823424, 414.5833475726705, 743.4744291900207, 36.34689415382619, -279.02707126680144, 42.379198486004015, -295.26833192068335, 243.2197407460531, -160.23457245489632,0, 815.6367113091366, 439.7567351207652, 375.87997618837136, 311.1860212264968,0.0, 0.4375, 2.625, 14.625, 32.625,22.5, 39.875, 60.6875, 76.9375, 87.1875,2.0, 8.5, 16.5625, 24.5, 32.0625, 1.605263352394104,-1.416259765625, 21.1875, 200.4375
0, 30.0, 186, 520, 546, 880, 0.04999999701976776,1.6484015364118387, 2.1469313699193298, -0.3316044214973226, -0.2642264841683209,0.00024220697699092853, 0.00026557821031019557, -1.2973072034583311e-05, 0.0005539740519316183, 3.18053800762641e-05,1262.5743408203125, 43.453745693647306, 69.125, 163.87501525878906, 276, 655,79.125, 133.875, 316, 535, 17.786903381347656, 229.19726086962223, 12.469591179911678, 249.6546323557094, 24.284917165729194, 218.85875252018414,24.136334460845333, 232.15108545922095, 32.489094477955646, 264.3172056572357, 30.66177496243548, 266.6670775996652,346.47677622681795, 509.30837373717463, 817.7694231930622, 94.77460467951657, 0, -9.335442551609912, -8.741149656251125, 403.31786558271796, -0.052348803021149644,4.921178796873314, 853.9841478977426, 490.16429320359754, 363.819854694145, 298.16260090391023,0.0, 0.5625, 5.6875, 12.4375, 24.0,31.875, 50.75, 67.875, 80.5625, 90.3125,2.0, 8.8125, 20.5, 32.1875, 39.0625, 1.8157892227172852,-1.86822509765625, 129.1875, 60.4375
0, 35.0, 190, 562, 550, 922, 0.04999999701976776,0.8373017514753154, 1.1381997802958357, 0.8715201959694969, -0.23112358547863557,0.0012253626949677709, 0.000423812624430866, 0.0001231650695171993, -7.994868356036023e-06, 9.381406820921256e-05,1265.1185302734375, 44.70802950371246, 70.125, 174.37501525878906, 280, 697,80.125, 144.375, 320, 577, 18.11605453491211, 232.95204808281002, 12.850467715238018, 253.11137284088863, 24.5712909346111, 222.5684249641631,23.266586419288224, 239.81203053798237, 25.917936597719812, 275.1486872100477, 30.46179064383556, 269.9000656810207,367.9194133787826, 480.59931967005303, 675.6302907773827, 343.21349868247756, -16.188974998687662, 179.47617340538258, -24.44627101883354, 343.21349868247756, -16.188974998687662,18.707197089140262, 892.4442472974106, 653.9276396671625, 238.51660763024813, 277.5654007701252,0.0, 0.0, 0.5, 4.375, 9.4375,41.0625, 56.0625, 76.375, 93.4375, 108.625,0.5625, 5.75, 13.0, 21.125, 26.25, 5.131579399108887,-2.44342041015625, 232.75, 14.1875
0, 40.0, 211, 610, 571, 970, 0.04999999701976776,0.9023138019954786, 1.3566097515728324, 1.8497483223536983, 1.618807494272478,-7.272098193539023e-05, 0.00018513494235776308, 0.00039559087274938066, 0.00022786174544307868, 0.0006530404673185331,1133.594970703125, 47.80776199131557, 75.375, 186.37501525878906, 301, 745,85.37500762939453, 156.375, 341, 625, 17.126705169677734, 231.6274558366911, 11.245754255527283, 250.93475744478587, 23.93075647744555, 222.68892044722162,14.20904120440931, 241.92664344463998, 18.391676222035056, 278.86234302405364, 23.953946520361352, 274.37716270178134,152.4228486962608, 272.8906561946431, 348.98472825640494, 916.0837519504806, -71.51720539377344, 548.4256399082578, -53.41967319283501, 916.0837519504806, -71.51720539377344,25.740850729318932, 908.0436150887231, 796.9396796954206, 111.10393539330244, 240.866108018003,0.0, 0.0, 0.1875, 0.25, 0.125,46.75, 67.75, 94.375, 119.6875, 127.3125,0.0625, 2.3125, 6.125, 8.625, 11.6875, 2.494736909866333,-2.758697509765625, 488.5, 54.125
