BSS_NC_TRN: UH_Thresh: 150.0, u_rad: 5.0, track_on: 100.0 min
Mode, Time, x1, y1, x2, y2, zs_surface, w500m, w1km, w3km, w5km,zvort_suf, zvort500m, zvort1km, zvort3km, zvort5km,UH_Max, UH_Area, UH_X, UH_Y, UHi, UHj,SX, SY, SXi, SYj, meanWnd, meanWnd_dir, rm, rm_dir, lm, lm_dir,shear1km, shear1km_dir, shear3km, shear3km_dir, shear6km, shear6km_dir,srh500m, srh1km, srh3km, sbcape, sbcin, mlcape, mlcin, mucape, mucin,3CAPE, LCL, LFC, LFC-LCL, EL,wA500m, wA1km, wA3km, wA5km, wA8km,zA500m, zA1km, zA3km, zA5km, zA8km,wzA500m, wzA1km, wzA3km, wzA5km, wzA8km, meso_depth, CP_Min, CP_area, dBZ_Area
bool, min, idx, idx, idx, idx, km,ms^-1, ms^-1, ms^-1, ms^-1,s^-1, s^-1, s^-1, s^-1, s^-1,m^2s^-2, m^2s^-2, km, km, idx, idx,km, km, idx, idx, ms^-1, deg, ms^-1, deg, ms^-1, deg,ms^-1, deg, ms^-1, deg, ms^-1, deg,m^2s^-2, m^2s^-2, m^2s^-2, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1,Jkg^-1, hPa, hPa, hPa, hPa,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2, km, K, km^2, km^2
0, 0.0, -90, -135, 270, 225, 0.015876375198364257,0.0, 0.0, 0.0, 0.0,6.069759066473779e-08, -1.3872131454650826e-08, -9.6438670729726e-09, 6.184959244759369e-09, 5.223101412488162e-09,0.0, 0.0, 0.125, 0.125, 0, 0,10.125000953674316, 370.1250305175781, 40, -120, 14.372714042663574, 239.74173423104457, 12.735030632512228, 271.12874591814443, 19.064858279219568, 219.38299242385256,8.128767704913459, 223.92929988733147, 15.64297350261152, 255.80633915891457, 23.027981194390076, 261.1406759195595,60.62508056791214, 100.46788366932476, 183.67554802377532, 1283.546470748058, -4.49618714725343, 892.5745556119981, -15.235284589414707, 1283.546470748058, -4.49618714725343,102.15207427967067, 898.9434847421938, 877.8408055620062, 21.102679180187693, 227.74916978086125,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0
0, 5.0, 165, 490, 525, 850, 0.023790170669555664,1.8890127667039633, 3.2294138252735136, 4.138071834444999, 2.359789079427719,-1.7582486904359485e-05, -0.00011066332980448126, -9.089643624065501e-05, 0.00015273689244366996, 3.796260743342828e-05,3.835455894470215, 1.8282628410542383, 63.875003814697266, 156.375, 255, 625,73.875, 126.37500762939453, 295, 505, 14.341120719909668, 239.73209000393652, 12.729127501050028, 271.1871396260784, 19.021167429509962, 219.29292987673594,8.537000156037452, 224.13316737367802, 31.158236521012682, 271.3244779541359, 36.060042556783095, 271.52991638399146,123.4010248005984, 196.75324635039644, 470.24263934011566, 1361.9955045621557, -3.6417944244890292, 991.3997079256554, -13.203875209463025, 1361.9955045621557, -3.6417944244890292,123.97228289296316, 898.1359900533206, 880.0555898478232, 18.080400205497426, 228.13751279384437,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.8125,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,-0.08048389106988907, 0.0, 0.0
0, 10.0, 188, 552, 548, 912, 0.02477856254577637,2.9518356599099933, 4.117361836358905, 7.364041457064452, 3.091192005146295,0.00045295788476465757, 0.00042822408649499264, 0.0002556720469863194, 5.434716739216583e-05, -3.141621699370489e-05,12.80838394165039, 6.382680311758428, 69.625, 171.87501525878906, 278, 687,79.625, 141.875, 318, 567, 14.138970375061035, 226.89556908159796, 9.307678432744058, 255.85435783923808, 20.632210289471164, 214.27901503488079,34.904417730434034, 267.73911677103376, 47.02126432815424, 275.2707017093808, 48.399115643936064, 274.38824126861516,139.84136434573654, 392.2818640658769, 592.7801029611012, 0, 0, 0, 0, 8.656245200226877, -184.4210317850682,0, 749.0358184451778, nan, nan, nan,0.0, 0.0, 0.0, 4.0625, 18.125,0.1875, 1.3125, 11.3125, 16.0625, 15.8125,0.0, 0.0, 0.5, 3.125, 7.625, 0.0,-0.8288280963897705, 0.0, 0.0
0, 15.0, 189, 574, 549, 934, 0.024822906494140626,3.1990588664298407, 4.287045968337917, 7.617299170307815, 3.321251688745105,0.0003273789562746288, 0.0016172026721324073, 0.001465727342460923, 6.51322871829052e-05, 0.0001926175367042049,34.464988708496094, 11.301004652408883, 69.875, 177.37501525878906, 279, 709,79.875, 147.375, 319, 589, 14.460648536682129, 231.73527720292893, 10.573813024118786, 261.7996498005483, 20.46741768521775, 216.73575965386195,33.09863092171702, 261.3752655967928, 56.41464562317365, 275.14807249302237, 46.856508363631534, 271.481244455966,259.06552496495726, 518.105793745712, 955.9998634535768, 0, 0, 2.62540624386484, 0, 164.1324232396076, -0.20445025755149263,0, 706.7138948772373, nan, nan, nan,0.0, 0.0, 0.875, 9.0, 23.25,7.0, 19.5, 29.9375, 37.6875, 36.0625,0.0625, 2.0625, 4.8125, 8.0625, 10.6875, 0.0,-0.11242421716451645, 0.0, 0.0
0, 20.0, 259, 468, 619, 828, 0.0282453727722168,0.15117121338029393, 0.2099750377354212, 1.5094084290228784, 2.8744270458118995,-0.00036297251200437605, -0.0007567757042198766, -0.0007890320857597998, -0.0006289500992633631, -0.00031192529222209944,194.60525512695312, 13.942637562433083, 87.37500762939453, 150.875, 349, 603,97.37500762939453, 120.87500762939453, 389, 483, 18.426477432250977, 223.56437654035602, 12.316753534975312, 240.16593353568334, 25.295607812789026, 215.56757073495152,8.392806916693273, 225.5624527593949, 17.831446748861314, 260.1853373603498, 24.098511155678246, 263.8340107545923,44.12316807017524, 65.02657305192494, 100.19683351387991, 1080.431443943391, -8.679201990940388, 810.6728117022759, -21.534277695550937, 1080.431443943391, -8.679201990940388,56.59923616088722, 894.7922070389212, 858.969483550266, 35.82272348865524, 235.34654843039684,0.0, 0.0, 0.0, 0.0, 0.25,1.1875, 2.125, 9.9375, 22.5625, 25.5625,0.0, 0.0, 0.25, 1.8125, 4.75, 0.0,-0.44332632422447205, 0.0, 46.25
0, 25.0, 193, 524, 553, 884, 0.025001476287841797,1.1126384768553546, 1.4858255325234497, 0.6297899535868782, -1.271160982202273,0.0004397153220747896, 0.0017453052981727523, 0.001518891429204814, 6.851293077261289e-06, -7.585084475181247e-06,454.82733154296875, 16.79984404002317, 70.875, 164.87501525878906, 283, 659,80.87500762939453, 134.875, 323, 539, 14.160326957702637, 238.03716490101954, 11.98011656509532, 270.0185933134196, 19.23555393953502, 218.77638658860462,17.906237755361968, 255.02448740462322, 32.85116154720106, 297.90638575090986, 23.414186528994772, 284.7844312231565,328.69653915468615, 482.26666701266464, 931.9548158756368, 24.325389306425354, -239.08941610441624, 34.32127112809144, -282.3871403774813, 221.71034521974624, -71.01074035279963,0, 799.088977064449, 425.4011079925867, 373.6878690718623, 316.0410567521977,0.0, 0.25, 2.25, 19.5625, 41.4375,18.9375, 36.1875, 54.3125, 69.6875, 81.9375,2.5, 10.5, 19.1875, 26.3125, 34.25, 0.7052633762359619,-1.27520751953125, 16.5625, 210.6875
0, 30.0, 172, 600, 532, 960, 0.02408470344543457,2.975260127824731, 3.916693136023823, 3.3492268933821476, 2.419256851435057,0.00020424430253115133, 0.00042310729264272596, -0.00035323878122653693, 4.8701050544650645e-05, -2.703091567880732e-05,1267.338623046875, 58.730911597305784, 65.625, 183.87501525878906, 262, 735,75.625, 153.875, 302, 615, 17.62346076965332, 230.24141920879876, 12.861776285398603, 252.4316045978143, 23.83794226881962, 218.48340380093975,32.19076631355258, 271.10145861735657, 27.568449361504253, 292.19201726484545, 37.753442588559494, 284.7712762788151,536.9358415963475, 720.566795767068, 788.857795884013, 218.29739390768523, -121.17919916242084, 157.9175006439011, -81.01334215169422, 218.29739390768523, -121.17919916242084,21.033311165305957, 878.6944604469472, 777.7346145395828, 100.95984590736441, 322.83909993477414,0.0, 0.5625, 5.125, 14.9375, 28.8125,28.0, 60.375, 87.8125, 99.125, 114.4375,2.6875, 9.875, 19.5625, 29.0625, 39.75, 2.6894733905792236,-1.948883056640625, 75.0625, 0.0
0, 35.0, 200, 605, 560, 965, 0.025318592071533204,0.12165353983466048, 0.29682518381858247, -0.03341780205722898, 0.1152568323770538,-0.0008564339496433603, 8.605845071542717e-05, -7.70126506449742e-05, -6.91054561002602e-05, -0.0005010901042828663,1534.6287841796875, 56.70711373539552, 72.625, 185.12501525878906, 290, 740,82.62500762939453, 155.125, 330, 620, 19.553390502929688, 238.2571926149423, 13.152907591411537, 252.25944986669845, 26.53622371611166, 231.36915630823023,13.138424566663295, 235.91853584312994, 12.976618136132052, 283.9243738028685, 25.010923925858727, 280.1586992681437,197.5707334345184, 257.75455332801863, 349.05444235336006, 541.9412204949595, -22.148619168052225, 225.74916196408486, -48.54448371702662, 541.9412204949595, -22.148619168052225,43.4817320930626, 895.6241794440506, 825.892930050572, 69.7312493934786, 270.5102215097666,0.0, 0.0, 1.5625, 7.4375, 17.4375,47.0625, 66.0625, 89.4375, 111.875, 129.0625,0.9375, 6.75, 14.3125, 21.125, 29.6875, 4.147368431091309,-2.430755615234375, 372.1875, 8.5625
0, 40.0, 204, 651, 564, 1011, 0.025502485275268556,0.8176731311983894, 1.18229054069845, 2.0870766318397362, 1.1033689197013155,-0.0007869080523596494, -0.00025556626467732713, 0.0001043094427586766, -7.337908529734704e-05, -0.0006942551510155681,918.4982299804688, 66.69251157660236, 73.625, 196.62501525878906, 294, 786,83.62500762939453, 166.62501525878906, 334, 666, 16.48484230041504, 230.2519786812556, 9.749462861460291, 245.20505935416313, 23.684340193653654, 224.15479377074143,25.776301665171808, 233.5364390681963, 21.507424025625948, 259.9568402118562, 27.934851841696606, 260.2515082330289,300.7833384338094, 527.1519907803026, 650.2731577508887, 532.2704063455376, -146.29497222308345, 324.97577932099347, -168.16557666596088, 532.2704063455376, -146.29497222308345,1.2393401643954678, 898.8227513134884, 727.1644016732176, 171.65834964027079, 278.68961231443654,0.0, 0.0, 0.0, 0.25, 0.6875,40.75, 54.3125, 74.75, 99.1875, 114.0625,0.0, 0.9375, 3.0625, 5.125, 8.4375, 7.700000286102295,-2.977142333984375, 411.1875, 43.125
0, 45.0, 273, 447, 633, 807, 0.029013286590576174,0.20231844464491588, 0.44540004528593274, 1.1670722216024296, 0.8524820369464577,-0.00036434992494264405, -0.0007481645141388071, -0.0004930727835926518, 0.0015811856996833739, 0.0007798467634344775,504.00244140625, 34.11092266536757, 90.87500762939453, 145.625, 363, 582,100.87500762939453, 115.62500762939453, 403, 462, 18.86311912536621, 229.36341205137194, 11.976449369016963, 240.70539005465383, 26.0902117049828, 224.1838806257756,10.170878783073139, 234.58667627573413, 18.658053276271236, 264.43697985452104, 26.819350008728804, 268.85791541746016,64.40834082084075, 101.18213730385318, 148.79961613910228, 992.2715945867465, -34.261733178099526, 681.9782630781405, -58.62780520072216, 992.2715945867465, -34.261733178099526,54.80205752019205, 892.937366302415, 805.7455155109218, 87.19185079149315, 241.09061911944545,0.0, 0.0, 0.0, 0.0, 0.0,6.75, 9.25, 14.4375, 16.1875, 17.75,0.0, 0.3125, 1.4375, 1.4375, 1.25, 1.9210529327392578,-2.158172607421875, 100.9375, 330.25
0, 50.0, 301, 501, 661, 861, 0.03064473533630371,-0.010750424471334554, 0.16539275771880058, 1.3142430499207693, 0.3877911234111525,-8.299773751758721e-05, -0.0002841904718547994, -0.0005714049432879165, 0.0009621762768938424, 0.0004612325532076511,509.536865234375, 15.431806514928617, 97.87500762939453, 159.125, 391, 636,107.87500762939453, 129.125, 431, 516, 15.351263046264648, 234.61985733472207, 11.550526852632625, 262.7208927618842, 21.222814536761454, 219.76584222998903,12.650134645972958, 247.99439225798253, 19.781705922170797, 274.3598003609112, 29.816157123554785, 280.3329783750057,113.92215857049135, 219.12465550359389, 313.15222850021576, 924.835237126196, -82.62253772537115, 548.7974789938999, -138.04321261060554, 924.835237126196, -82.62253772537115,4.479425035506259, 892.2535319577628, 733.4361095998854, 158.81742235787738, 238.22348662464316,0.0, 0.0, 0.0, 0.0, 0.0,3.3125, 2.25, 3.375, 5.4375, 9.375,0.0, 0.0, 0.0, 0.0, 0.0625, 2.3684210777282715,-2.769622802734375, 445.1875, 528.9375
0, 55.0, 385, 673, 745, 1033, 0.03644203948974609,0.05969720032895566, -0.039816256068879737, 0.7508273341273889, 3.042328065962065,2.1290629564134634e-05, 0.0003504228970709277, 0.0003701726405745376, 7.336021614491984e-05, 0.0008371561791318527,571.9340209960938, 23.484855516827682, 118.87500762939453, 202.12501525878906, 475, 808,128.875, 172.12501525878906, 515, 688, 17.08349609375, 232.0282376768091, 11.422403117636284, 252.31214088689967, 23.784878099965496, 222.4447108051074,8.18488481625886, 221.35046634354478, 15.842233316493834, 251.155868258728, 33.71095135399506, 254.30678478701662,58.01867644532208, 90.60553052501413, 127.08810796167634, 868.4556361185021, -10.228913509300494, 651.7005946907942, -23.07923490033721, 868.4556361185021, -10.228913509300494,69.27867536475013, 893.0097411709783, 847.7190409031701, 45.29070026780812, 234.6812944970616,0.0, 0.0, 0.0, 0.0, 0.0,0.4375, 0.1875, 0.25, 1.3125, 1.75,0.0, 0.0, 0.0, 0.0, 0.0, 1.6631577014923096,-2.908905029296875, 444.0, 972.25
0, 60.0, 330, 535, 690, 895, 0.032481597900390624,-0.0700797611536109, 0.1070474050831399, 1.7323936720355415, 0.5760454178543296,-0.00010600648419114123, -0.00021238018971871496, -0.0005855574734505353, 0.0002786827787463153, 0.0001317283033847616,453.0350036621094, 22.32577606919012, 105.12500762939453, 167.62501525878906, 420, 670,115.12500762939453, 137.625, 460, 550, 14.125332832336426, 230.92273057850753, 13.208754781999666, 262.54641676169183, 18.359707957406417, 208.76044821267914,12.344263957719411, 247.6930852929366, 20.553449876336323, 278.7824024900078, 29.19441523730395, 283.3507471956142,117.97089313602967, 220.84157543595978, 352.65984085941074, 871.794768669757, -106.02946987767369, 530.4950746855505, -157.26330348555854, 871.794768669757, -106.02946987767369,1.8340860904908574, 891.334090865614, 715.830036984211, 175.50405388140302, 240.64102485478344,0.0, 0.0, 0.0, 0.0, 0.0,1.0625, 2.75, 4.4375, 9.8125, 8.875,0.0, 0.0, 0.0, 0.0, 0.0, 1.9210529327392578,-3.093292236328125, 776.6875, 551.75
