CS_CTL: UH_Thresh: 150.0, u_rad: 5.0, track_on: 100.0 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode, Time, x1, y1, x2, y2, zs_surface, w500m, w1km, w3km, w5km,zvort_suf, zvort500m, zvort1km, zvort3km, zvort5km,UH_Max, UH_Area, UH_X, UH_Y, UHi, UHj,SX, SY, SXi, SYj, meanWnd, meanWnd_dir, rm, rm_dir, lm, lm_dir,shear1km, shear1km_dir, shear3km, shear3km_dir, shear6km, shear6km_dir,srh500m, srh1km, srh3km, sbcape, sbcin, mlcape, mlcin, mucape, mucin,3CAPE, LCL, LFC, LFC-LCL, EL,wA500m, wA1km, wA3km, wA5km, wA8km,zA500m, zA1km, zA3km, zA5km, zA8km,wzA500m, wzA1km, wzA3km, wzA5km, wzA8km, meso_depth, CP_Min, CP_area
bool, min, idx, idx, idx, idx, km,ms^-1, ms^-1, ms^-1, ms^-1,s^-1, s^-1, s^-1, s^-1, s^-1,m^2s^-2, m^2s^-2, km, km, idx, idx,km, km, idx, idx, ms^-1, deg, ms^-1, deg, ms^-1, deg,ms^-1, deg, ms^-1, deg, ms^-1, deg,m^2s^-2, m^2s^-2, m^2s^-2, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1,Jkg^-1, hPa, hPa, hPa, hPa,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2, km, K, km^2
0,5,166,497,526,857,0.049999997,1.874403004,3.216296892,4.212178715,2.561447213,-2.41E-05,-0.000170451,-0.000166014,8.81E-05,5.31E-05,3.697673321,1.886706452,64.125,158.125,256,632,74.125,128.125,296,512,19.3925724,230.426613,16.06461724,252.3787537,24.62867849,216.3132835,12.67092638,223.4685626,33.6303719,265.1995978,38.04658394,270.0877629,183.2293073,303.6011274,603.9780896,1874.580916,-5.354400501,1320.394267,-20.11939895,1874.580916,-5.354400501,100.6874475,906.0657288,888.2558828,17.80984593,189.9508081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,190,564,550,924,0.049999997,2.759574748,3.783356091,6.500631574,2.190262806,0.000827027,0.00069015,0.000507034,4.36E-05,3.13E-05,13.77884007,6.25626337,70.125,174.8750153,280,699,80.125,144.875,320,579,19.59837532,220.7265286,13.77133276,237.2514768,26.28769739,212.157207,41.5620021,270.083173,48.51438002,274.8544836,50.27730516,277.852281,263.0805034,497.390887,643.1211339,2.77355312,-233.4563471,127.739249,-218.6918308,182.5471957,-209.5487694,0,756.693158,456.8035825,299.8895755,377.6596098,0,0,0,1,10.1875,1.125,3.875,11.1875,13.375,8.625,0,0,0.25,2.1875,6.5,0,0,0
0,15,251,608,611,968,0.049999997,-1.258384655,-1.501655584,-0.472034799,2.263307052,-0.000851492,2.01E-06,6.98E-06,0.00026644,-2.01E-06,43.8519249,8.241649933,85.37500763,185.8750153,341,743,95.37500763,155.875,381,623,21.4245491,223.835576,15.16044792,236.9765773,28.29635021,216.8391602,12.61068626,225.5120596,22.12031252,252.5639664,26.07242857,262.4688745,82.19606448,132.9345858,212.2298056,1693.064776,-27.96208491,1135.487468,-83.90068579,1693.064776,-27.96208491,10.96482281,905.8292358,756.3294524,149.4997835,192.718976,0,0,0.8125,4.375,24.375,15.125,26.5,40.6875,51.3125,49.1875,0.625,3.25,8.125,11.875,12.75,0,-0.00696781,0
0,20,183,612,543,972,0.049999997,2.545682822,3.849515419,4.845130604,0.858401586,0.000450949,-0.000367251,-0.000207658,-0.000559729,-4.50E-06,96.05270386,4.663925323,68.375,186.8750153,273,747,78.375,156.875,313,627,19.36955261,232.436041,15.82342151,254.1951898,24.74830197,218.7253427,34.38989142,264.9875887,64.55744501,275.0812459,58.62901384,285.7232817,514.2103983,913.517217,1501.073209,882.5268807,-11.84855781,560.6655985,-50.97791645,1075.116662,-0.091775489,7.844627634,844.3589782,681.195179,163.1637992,222.7427258,0,0.125,1.8125,7.375,12.8125,21.4375,34.125,47.1875,60.375,68.875,1.375,5.1875,13.5,23.125,29.5625,1.978947282,-0.10905768,0
0,25,191,537,551,897,0.049999997,0.708157602,0.990736952,1.071971588,-1.528402526,0.001656044,0.000467555,0.000105453,-0.000551831,4.64E-05,246.4000702,5.895678305,70.375,168.1250153,281,672,80.37500763,138.125,321,552,25.02545547,222.3877262,17.80863959,227.9304929,32.3712713,219.3417566,27.45202615,269.9233293,38.03036602,294.165901,31.86756025,295.9786605,322.2047717,483.9936494,797.7294282,225.7431946,-196.6781513,156.9489953,-77.27755307,410.9471309,-43.31308968,0,825.8421557,471.6303157,354.21184,237.4128481,0,0.125,3.3125,15.125,32.25,30.0625,44.4375,67.1875,78.4375,83.5625,2.0625,10.75,16.875,24.0625,32.3125,0.899999976,-0.312964469,0
0,30,224,640,584,1000,0.049999997,-0.026065844,0.034832246,-0.721515803,-2.220634297,-0.00063812,-0.00130537,-0.001033146,-0.000785325,-0.000167727,937.151123,19.2358494,78.625,193.8750153,314,775,88.62500763,163.8750153,354,655,25.22902679,221.4153805,17.89842726,225.6900494,32.63669484,219.0726077,19.09608336,233.4617851,31.45273034,254.4477872,24.3982919,267.4870145,71.24462495,146.6942319,306.0317218,2043.933259,-26.78071062,1797.389604,-40.66712362,2043.933259,-26.78071062,50.98825609,905.1450405,835.327196,69.81784451,174.4902307,0,0.125,3.5,10.1875,21.125,58.5,91.3125,122,145.9375,151.3125,2.375,13.6875,24,34.3125,43.5625,1.747368813,-1.102478027,45.25
0,35,187,641,547,1001,0.049999997,0.92443594,1.186776831,1.42366448,-0.535162966,0.000697977,0.000670662,-0.000251574,-0.00064861,0.00046838,1212.823486,50.42130237,69.375,194.1250153,277,776,79.375,164.1250153,317,656,21.84332466,224.4845806,17.84060279,242.9734253,27.35826337,212.5498525,27.20342337,277.3819542,31.89138639,295.8590912,35.93805357,292.2487215,290.2168986,434.2238929,560.9177621,381.3212313,-140.0355701,384.7800661,-129.9702317,432.7163857,-93.6146947,0,891.3191739,616.7105692,274.6086046,246.1634103,0,0,0.3125,1.625,4.5,68.0625,94.875,119.3125,136.9375,153.9375,0.125,4.1875,8.9375,12.125,16.6875,2.115789413,-0.831756592,0
0,40,200,654,560,1014,0.049999997,0.7317611,0.893816815,0.73124703,0.181927913,0.000841318,0.000141044,7.76E-05,0.000316961,9.07E-05,2267.61792,48.35560719,72.625,197.3750153,290,789,82.62500763,167.3750153,330,669,23.50870323,225.6985921,16.25646487,231.3040909,30.87953454,222.7509997,23.35162131,287.0300062,31.44501792,307.0264641,36.11222991,299.8050964,183.7323577,354.8997891,495.3826348,697.1029848,-77.74121181,696.3834291,-76.45850358,711.7645112,-10.07298897,0,890.4903109,645.6808466,244.8094644,228.5813078,0,0,0,0.0625,0.9375,55.75,73.8125,96.75,109.1875,115.25,0,0.3125,2.6875,4.625,5.8125,2.98421073,-1.960174561,66.1875
0,45,219,673,579,1033,0.049999997,1.131118368,1.429727491,1.619044379,1.594762527,-0.000581913,9.98E-05,0.000117527,8.41E-05,0.000381361,609.9544678,25.23424732,77.375,202.1250153,309,808,87.37500763,172.1250153,349,688,23.98781204,223.5579015,16.81188111,229.7831193,31.31598364,220.2205903,17.87091314,275.3510521,24.92026959,308.428019,29.30733288,296.2561437,164.7323566,252.4790572,372.91471,1000.098983,-148.3983277,947.8591363,-128.1045221,999.0558801,-123.5882826,0,881.9729797,693.0760513,188.8969284,214.0886922,0,0,0.0625,0.0625,0,51.3125,58.5625,71.3125,84,85.625,0,1.5,2.3125,2.6875,3.25,4.947368622,-2.81842041,213.75
