NC_CTL: UH_Thresh: 150.0, u_rad: 5.0, track_on: 100.0 min
Mode, Time, x1, y1, x2, y2, zs_surface, w500m, w1km, w3km, w5km,zvort_suf, zvort500m, zvort1km, zvort3km, zvort5km,UH_Max, UH_Area, UH_X, UH_Y, UHi, UHj,SX, SY, SXi, SYj, meanWnd, meanWnd_dir, rm, rm_dir, lm, lm_dir,shear1km, shear1km_dir, shear3km, shear3km_dir, shear6km, shear6km_dir,srh500m, srh1km, srh3km, sbcape, sbcin, mlcape, mlcin, mucape, mucin,3CAPE, LCL, LFC, LFC-LCL, EL,wA500m, wA1km, wA3km, wA5km, wA8km,zA500m, zA1km, zA3km, zA5km, zA8km,wzA500m, wzA1km, wzA3km, wzA5km, wzA8km, meso_depth, CP_Min, CP_area
bool, min, idx, idx, idx, idx, km,ms^-1, ms^-1, ms^-1, ms^-1,s^-1, s^-1, s^-1, s^-1, s^-1,m^2s^-2, m^2s^-2, km, km, idx, idx,km, km, idx, idx, ms^-1, deg, ms^-1, deg, ms^-1, deg,ms^-1, deg, ms^-1, deg, ms^-1, deg,m^2s^-2, m^2s^-2, m^2s^-2, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1,Jkg^-1, hPa, hPa, hPa, hPa,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2, km, K, km^2
0, 5.0, 167, 480, 527, 840, 0.04999999701976776,1.841896791011095, 3.14416818857193, 4.13402134642005, 2.2674294965714217,-1.2601563185015152e-05, -7.733957514673762e-05, -6.169136004444908e-05, 0.00013752220572683883, 3.654587864843961e-05,3.8453896045684814, 1.8211671496485364, 64.375, 153.875, 257, 615,74.375, 123.87500762939453, 297, 495, 14.275811195373535, 239.70356713396257, 12.718809216065663, 271.2979927481886, 18.929592863387743, 219.09321692491605,8.647146214985684, 222.91559053147486, 30.062216406806275, 270.07447137375345, 35.08124417338199, 270.47473411949454,123.46334642028683, 193.5560408587647, 451.59583583824855, 1363.9526451466932, -6.259442150692956, 965.9379526709071, -13.59525550726478, 1363.9526451466932, -6.259442150692956,115.62126361408275, 901.9306093629092, 881.0187355833226, 20.911873779586585, 226.6349366280174,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.25,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,-0.035848647356033325, 0.0
0, 10.0, 188, 544, 548, 904, 0.04999999701976776,2.7890509450808167, 3.9820170160382986, 7.375614514900371, 3.0738370668888093,0.0004612211725438442, 0.0004108550773707975, 0.00025804546484096134, 8.296333686033108e-05, -3.821399212029064e-05,13.896946907043457, 6.932516377900167, 69.625, 169.87501525878906, 278, 679,79.625, 139.875, 318, 559, 14.134773254394531, 228.10600154592927, 9.515521525132936, 257.6225438417959, 20.531402062419364, 214.90687051723722,31.494915059606132, 271.83589519842974, 43.16133778966736, 277.4104633725624, 44.90915724405156, 276.3834761289593,111.90765658888793, 323.10885112639113, 480.63536720836044, 0.9708353728612643, -216.28305843679343, 0, 0, 9.321899809301877, -189.4721369242179,0, 771.1992246065124, 531.1383372741536, 240.0608873323588, 494.80044563432216,0.0, 0.0, 0.0, 2.3125, 14.1875,0.0, 0.75, 8.5, 14.625, 14.3125,0.0, 0.0, 0.5, 2.875, 8.1875, 0.0,-0.8801779747009277, 0.0
0, 15.0, 190, 552, 550, 912, 0.04999999701976776,2.9061070049402784, 4.029423511693021, 7.63520077386871, 3.474233421359677,0.000535540819675191, 0.0006987115612037087, 0.0004479013982745528, 0.0003614458451937708, 0.0003123801937516646,37.17195510864258, 13.205711635174234, 70.125, 171.87501525878906, 280, 687,80.125, 141.875, 320, 567, 14.816530227661133, 233.09541375348857, 10.624769776646898, 261.79514215814277, 20.944531916143898, 218.9959226018183,26.19520334006611, 260.2881590281152, 37.69027300752118, 274.07160735907166, 35.09713036102441, 268.41546942340506,163.52778061076796, 312.03652173117166, 518.4078184782302, 0, 0, 0, 0, 0, 0,0, 714.2659929647924, nan, nan, nan,0.0, 0.0, 0.125, 8.4375, 21.6875,8.25, 17.5, 28.75, 32.3125, 32.625,0.1875, 1.375, 3.125, 6.0, 9.375, 1.215789556503296,-0.24427653849124908, 0.0
0, 20.0, 182, 598, 542, 958, 0.04999999701976776,3.0159319419367243, 4.368854915546254, 5.395172914182768, 0.20066777881234885,0.0006565601830413926, -0.0002733463445702, -5.63851237666313e-05, -0.0007075735452940535, 6.867529841606767e-05,283.6324462890625, 7.501644216802235, 68.125, 183.37501525878906, 272, 733,78.125, 153.375, 312, 613, 18.801298141479492, 227.5149306355347, 12.566346977228907, 243.10080233989126, 25.720897498320937, 219.97199877789242,28.235882885228353, 255.45226215234112, 53.55080607578087, 267.07511310068173, 53.94490711336806, 282.98203992383856,430.1863920130739, 679.5643841531044, 1063.775838213266, 423.29324550343097, 0, 319.1952564165654, -81.67676557443204, 749.2676870037342, -1.007748200187897,3.0068636368500856, 797.0866358248743, 583.0248974294859, 214.06173839538837, 297.51895150714944,0.0, 0.0625, 2.375, 8.5625, 15.9375,11.1875, 21.625, 35.625, 48.875, 58.875,0.875, 4.25, 10.625, 16.75, 22.5, 1.6105263233184814,-0.197021484375, 0.0
0, 25.0, 191, 510, 551, 870, 0.04999999701976776,1.3604578011325787, 1.8864514213462826, 2.4808217875257834, -0.6493408355442807,0.0003828164179446958, 0.00036741672719472264, -9.14935272794537e-05, -0.00045616664669068997, 0.0003023224970988281,446.3432312011719, 20.757544070995785, 70.375, 161.37501525878906, 281, 645,80.37500762939453, 131.375, 321, 525, 19.202590942382812, 220.79026788819866, 12.388606198676541, 232.45106057058126, 26.391314738660544, 215.34597640033132,24.177385088415257, 247.48778346686436, 33.31192257529118, 286.03674640747835, 26.27824405544341, 272.0938714433811,340.2709698749133, 449.49668046424773, 781.0311439336962, 97.98156106940104, -246.3261226104765, 46.38298690194735, -291.59653130477744, 241.24181348740737, -160.076506036015,0, 831.582986326963, 474.7031358217141, 356.8798505052489, 289.5511418284587,0.0, 0.625, 2.5625, 15.1875, 33.4375,22.1875, 38.6875, 60.6875, 76.375, 86.3125,1.875, 8.4375, 16.8125, 24.3125, 30.6875, 1.605263352394104,-1.30804443359375, 16.125
0, 30.0, 192, 522, 552, 882, 0.04999999701976776,2.064547653355403, 2.6272219282423612, -0.3198241964867339, -1.173111387991812,-9.059033752691903e-06, -0.0002895247254627975, -0.0006824916320874763, 0.00016019323226601045, 3.967103283400775e-05,1234.057373046875, 50.750747448703855, 70.625, 164.37501525878906, 282, 657,80.62500762939453, 134.375, 322, 537, 17.862558364868164, 228.92364349147152, 12.571902675386772, 249.35665327407844, 24.343156496387145, 218.53658345785988,24.19548101184058, 228.86031397748715, 32.180857417923015, 272.0319899295008, 28.79251656172493, 261.3302956312974,281.91759420167443, 415.9823152540765, 766.8240446544921, 471.58471108114384, -61.81227564700468, 82.84480466085412, -87.80746346465831, 471.58471108114384, -61.81227564700468,7.400181145385047, 891.9140201587154, 595.8412877359782, 296.0727324227372, 234.45347404391353,0.0, 0.25, 5.4375, 12.5625, 22.75,34.5, 55.625, 70.875, 81.8125, 90.375,1.5625, 10.8125, 22.1875, 32.5625, 39.25, 3.726315975189209,-1.721160888671875, 151.875
0, 35.0, 190, 561, 550, 921, 0.04999999701976776,0.8417647807509638, 1.1249797722138464, 0.7051154695055447, -0.27444484069244934,0.0013687773918832134, 0.00025964812663914927, 0.000473130859891171, 0.00016103354189453967, 4.9438298670452204e-05,1191.362060546875, 45.16240748092708, 70.125, 174.12501525878906, 280, 696,80.125, 144.125, 320, 576, 18.60915184020996, 228.407540737407, 13.678559241423994, 248.81076306109043, 24.85956623102296, 217.34823806666697,23.315976260891567, 232.2025987459412, 24.251457834908116, 269.55451275053144, 29.41062912642638, 267.0183815494356,328.5692098437658, 434.33526706773836, 584.2355298756241, 392.1381451303595, -12.516221043237502, 174.89508339687936, -20.87544664119275, 392.1381451303595, -12.516221043237502,31.063780302366965, 894.9364856241398, 656.9860497546616, 237.95043586947816, 271.05577427147364,0.0, 0.0, 0.9375, 3.875, 9.0,37.625, 55.6875, 73.5, 93.75, 106.875,0.8125, 5.375, 12.0, 18.375, 24.625, 5.631579399108887,-2.259002685546875, 228.4375
0, 40.0, 206, 576, 566, 936, 0.04999999701976776,0.48522593364235944, 0.6134320650430164, 0.3938219019339886, -0.9224487810506253,0.0004022189243369212, 0.0007678115408998565, 0.0004175198766279209, -0.00025502765714009, 0.00033964914670718825,1297.326171875, 30.071492490098624, 74.125, 177.87501525878906, 296, 711,84.12500762939453, 147.875, 336, 591, 16.879533767700195, 231.63541983726333, 11.184916072219952, 252.0960585959103, 23.605825529368555, 222.10157025547335,17.79959202803485, 235.9308028628793, 11.829422147351742, 280.8285222596685, 20.94955303078946, 276.7437822680557,192.81539111229188, 304.71122556121645, 405.54874279623914, 659.4934044582967, -79.69518691174717, 369.7678628118648, -66.70475421595674, 659.4934044582967, -79.69518691174717,21.427114338334437, 896.227217711751, 795.6951027373408, 100.5321149744102, 257.97539951014903,0.0, 0.0, 0.0, 0.6875, 1.5,49.1875, 66.3125, 91.8125, 111.625, 124.4375,0.0, 1.125, 6.1875, 11.625, 14.125, 6.484210968017578,-2.54461669921875, 375.5625
0, 45.0, 232, 652, 592, 1012, 0.04999999701976776,0.3557000098185381, 0.7272254259895999, 2.9428858182125257, 2.869238589154556,0.0003308688241349955, 0.0008925516970566604, 0.0006029484433520338, 0.00042625967803360253, -0.0006568588046502555,775.9891357421875, 39.59099827852558, 80.62500762939453, 196.87501525878906, 322, 787,90.62500762939453, 166.87501525878906, 362, 667, 16.259092330932617, 233.8354784104378, 10.080699426919246, 252.95224106145346, 23.229198301957748, 225.66485062949238,12.884184747504936, 205.1309527252989, 17.74392753722637, 239.85284774846235, 24.35464523725292, 256.12168899289406,76.84706094719994, 164.50653895646914, 472.0861347123405, 889.5519952132722, -7.180319051560842, 526.8979840194472, -37.87103869378725, 889.5519952132722, -7.180319051560842,66.72715796328816, 939.4300117013645, 830.1315616662794, 109.29845003508512, 223.3769554876687,0.0, 0.0, 0.0, 0.0625, 0.1875,35.3125, 54.125, 79.4375, 94.1875, 98.8125,0.0, 0.75, 2.75, 4.875, 5.5, 4.8263163566589355,-2.81512451171875, 631.0
