NC_RLTRN_ALL: UH_Thresh: 150.0, u_rad: 5.0, track_on: 240.0 min
Mode, Time, x1, y1, x2, y2, zs_surface, w500m, w1km, w3km, w5km,zvort_suf, zvort500m, zvort1km, zvort3km, zvort5km,UH_Max, UH_Area, UH_X, UH_Y, UHi, UHj,SX, SY, SXi, SYj, meanWnd, meanWnd_dir, rm, rm_dir, lm, lm_dir,shear1km, shear1km_dir, shear3km, shear3km_dir, shear6km, shear6km_dir,srh500m, srh1km, srh3km, sbcape, sbcin, mlcape, mlcin, mucape, mucin,3CAPE, LCL, LFC, LFC-LCL, EL,wA500m, wA1km, wA3km, wA5km, wA8km,zA500m, zA1km, zA3km, zA5km, zA8km,wzA500m, wzA1km, wzA3km, wzA5km, wzA8km, meso_depth, CP_Min, CP_area
bool, min, idx, idx, idx, idx, km,ms^-1, ms^-1, ms^-1, ms^-1,s^-1, s^-1, s^-1, s^-1, s^-1,m^2s^-2, m^2s^-2, km, km, idx, idx,km, km, idx, idx, ms^-1, deg, ms^-1, deg, ms^-1, deg,ms^-1, deg, ms^-1, deg, ms^-1, deg,m^2s^-2, m^2s^-2, m^2s^-2, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1,Jkg^-1, hPa, hPa, hPa, hPa,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2, km, K, km^2
0, 120.0, 1601, 957, 1961, 1317, 0.0,0.3084638491051737, 0.34211542122939137, 0.2883062310316018, -0.07633023718590266,0.00024018868514076531, 0.0003553726399653101, 0.0003350538972563299, 0.00016490522690901344, -7.221446820125265e-05,265.8414001464844, 2.6627678628178684, 422.8750305175781, 273.125, 1691, 1092,432.8750305175781, 243.12501525878906, 1731, 972, 14.057366371154785, 240.27727570348694, 12.89584957732882, 272.22017023842113, 18.4774506707462, 218.6077044999763,8.650918352707192, 223.13784488706708, 15.60380676420747, 255.2301444005323, 23.87809240901719, 257.73616812776663,58.468308974146346, 109.38400669841735, 185.74926999538286, 1049.8444961361627, -5.879619562746973, 913.6691131441254, -14.45471255485826, 1049.8444961361627, -5.879619562746973,75.60746709367069, 890.7457411571655, 865.186070041984, 25.559671115181573, 244.97866560132752,0.0, 0.0, 0.0, 0.0, 0.0,1.5625, 1.125, 1.75, 1.375, 1.5,0.0, 0.0, 0.0, 0.0, 0.0, 1.494736909866333,-1.458038330078125, 0.5625
0, 125.0, 1338, 901, 1698, 1261, 0.5421674194335938,-0.07554415309641628, -0.02840913877938874, 0.263341258247965, 0.13087627444845565,-8.06429544115872e-05, 0.00019734546054564817, 0.00016834706644715424, -4.548420635273942e-05, -0.0001383246762429735,327.2170715332031, 6.1241973612207365, 357.1250305175781, 259.125, 1428, 1036,367.1250305175781, 229.12501525878906, 1468, 916, 14.040887832641602, 240.64154335230208, 13.27498423278571, 272.3555811416663, 18.181524521738368, 218.07117309478252,5.612828394780779, 228.6516926794783, 13.587033701011487, 260.755904042856, 21.071920482727485, 264.7241619883634,52.075305834199625, 88.82272241048094, 163.88468816391443, 944.6710472927745, -3.5139618595205198, 695.927494128461, -25.0862434288955, 988.1290249040186, -0.4886749442331554,121.70153249164993, 884.9709312210542, 868.6774400358207, 16.293491185233506, 244.39300040383938,0.0, 0.0, 0.0, 0.0, 0.0,3.125, 1.9375, 2.3125, 1.6875, 2.0,0.0, 0.0, 0.0, 0.0, 0.0, 2.026315450668335,-0.8336181640625, 0.0
0, 130.0, 1614, 974, 1974, 1334, 0.021111967086791993,0.10384587114662282, 0.15763738785171882, 0.2445297891765949, 0.30713381983048754,-0.00022317333668070205, -9.62674900199545e-05, 4.674469095675704e-05, -1.6870227696017537e-05, 6.943808487960723e-05,226.8328399658203, 4.970385624762294, 426.1250305175781, 277.375, 1704, 1109,436.1250305175781, 247.37501525878906, 1744, 989, 16.208616256713867, 242.31839577467522, 13.783062711950159, 269.78564402421114, 21.165200196950252, 224.83876581862526,8.645105106469522, 221.00708541321154, 16.377033846287496, 252.0662368524423, 24.28349014554732, 258.83354730095596,48.42972116483453, 107.99704200956077, 188.32045372445927, 1032.4909519978212, -3.64218394037402, 908.1947942293782, -11.121907631513746, 1032.4909519978212, -3.64218394037402,94.79300023805469, 891.4051047652792, 873.7289665311853, 17.67613823409397, 244.63003716517423,0.0, 0.0, 0.0, 0.0, 0.0,1.875, 2.3125, 2.375, 2.5625, 1.875,0.0, 0.0, 0.0, 0.0, 0.0, 1.215789556503296,-0.9156494140625, 0.0
0, 135.0, 1634, 978, 1994, 1338, 0.011870984077453614,-0.10558208071102854, -0.1852207338565495, -0.18315835596731633, -0.08123814025428146,-0.00021912335769911807, -3.19953066286871e-05, -0.00017385805232834173, 3.1244528132106096e-05, 5.798969182990277e-05,206.2321014404297, 3.1407576486163014, 431.1250305175781, 278.375, 1724, 1113,441.1250305175781, 248.37501525878906, 1764, 993, 14.053738594055176, 240.37221533295013, 13.258502705016111, 272.0781829287703, 18.21338146355508, 217.8783970563437,9.004356367094557, 218.03528376571734, 16.146371697963268, 251.49321130183492, 23.803075307325354, 258.3910603257658,51.63204166187854, 113.03984228957344, 199.6112817930491, 1040.6193919391753, -3.8878499881595885, 914.588569074411, -13.588021588211936, 1040.6193919391753, -3.8878499881595885,83.77202261171207, 891.4593453758622, 869.0947156391392, 22.364629736723032, 242.35444428208214,0.0, 0.0, 0.0, 0.0, 0.0,1.75, 1.0, 1.625, 2.125, 1.875,0.0, 0.0, 0.0, 0.0, 0.0, 1.278947353363037,-1.078643798828125, 0.125
0, 140.0, 599, 805, 959, 1165, 0.0,-0.07274919167975895, -0.03197693528723903, 0.6968835699267221, 2.4240120562585066,1.2706550583416742e-05, -0.0006572930658995803, -0.0010048905474062053, -0.0006094787499270636, -0.0004420027241195612,309.0549621582031, 19.819258119034235, 172.37501525878906, 235.12501525878906, 689, 940,182.37501525878906, 205.12501525878906, 729, 820, 14.074728012084961, 240.8365315927276, 13.271806997715798, 272.49834237622457, 18.23609195137237, 218.37808104265153,8.525319641208556, 225.0465002694921, 17.78761365441329, 259.477347271743, 24.732652221941915, 263.8666727192033,60.999781966346134, 122.87843712113799, 229.17443584919585, 1039.6284546143613, -7.777005310290651, 862.2468373482437, -17.949461460363526, 1039.6284546143613, -7.777005310290651,57.43964840824203, 892.523328959903, 858.4570347350701, 34.06629422483286, 238.77457419980468,0.0, 0.0, 0.0, 0.0, 0.75,0.75, 6.4375, 18.3125, 30.0, 30.6875,0.0, 0.0, 0.75, 2.375, 5.1875, 0.0,-0.3898445963859558, 0.0
0, 145.0, 537, 883, 897, 1243, 0.0,0.8754644854960498, 1.3335964482079727, 0.945266880800482, -1.355027164135827,0.00013510291182114998, -0.00014256089255923143, 0.0004243567816683935, 0.0001972978047723473, -1.4253262161219027e-05,910.7984008789062, 28.86375013087162, 156.875, 254.62501525878906, 627, 1018,166.87501525878906, 224.62501525878906, 667, 898, 13.754020690917969, 237.1124938911832, 11.724068207756638, 270.14494598850047, 18.798733191825303, 217.2376001133245,26.535347629262024, 232.52981944869816, 36.8363934732171, 283.66412993511267, 25.3426921615548, 261.045039610801,328.3678402000023, 550.3034978274832, 1048.1577553823813, 448.0042187720162, -280.30081065018146, 138.42081805241335, -347.43180677434214, 448.0042187720162, -280.30081065018146,0, 892.4192170127338, 537.3007215768042, 355.1184954359296, 236.1373895838084,0.0, 0.5625, 2.375, 19.0, 36.125,21.4375, 35.6875, 56.0, 76.5625, 92.125,2.0625, 7.5625, 13.25, 21.9375, 27.8125, 3.5315792560577393,-1.720428466796875, 108.5625
0, 150.0, 546, 839, 906, 1199, 0.0,0.8770240266260224, 1.0506657595559954, -0.8072800260037184, -3.4407558482792227,-6.006261835409532e-05, 0.0014631426016694605, 0.0009899217360180045, 5.808879044252535e-05, 0.00036374886540585294,810.2660522460938, 18.45326031167597, 159.125, 243.62501525878906, 636, 974,169.12501525878906, 213.62501525878906, 676, 854, 18.56492805480957, 231.45372314496265, 15.665210667858519, 254.85468565283128, 23.58843389383703, 216.16053938434493,7.036034238742961, 226.43731802980346, 24.02512957171153, 279.82049562120136, 29.32631009182478, 272.5123161526928,103.13892588510144, 133.86596119459512, 347.00850594547074, 1424.9643664725218, -8.369382998592178, 1278.6787949911004, -17.233623645803224, 1424.9643664725218, -8.369382998592178,93.45114879608856, 892.0797831708181, 856.7993634460283, 35.280419724789795, 229.506975871062,0.0, 0.4375, 2.8125, 7.375, 14.8125,20.8125, 29.75, 46.9375, 60.25, 81.4375,0.875, 6.0, 11.4375, 19.1875, 26.125, 4.5,-2.419097900390625, 214.5
0, 155.0, 520, 931, 880, 1291, 0.0,1.4052322701501543, 1.9315571634471416, 0.8044205353735014, -0.4623998361395206,-0.0015983204420763285, -0.000754030984317069, -0.00019278316124200502, 6.193707727106812e-06, -0.0002848367002712848,961.0686645507812, 51.022115116228086, 152.625, 266.625, 610, 1066,162.62501525878906, 236.62501525878906, 650, 946, 15.948164939880371, 222.98641959316788, 10.143582176694784, 244.50762927972428, 22.766107341397873, 213.57919665276006,25.543099179771623, 254.8656445252854, 25.444587484968917, 283.9693301079855, 29.986772469749624, 270.0841702423749,301.60261972021124, 419.9739252753942, 562.6238462465019, 127.98840207791689, -242.41287599646188, 66.36514957408546, -235.7864730621526, 127.98840207791689, -242.41287599646188,0, 868.4945110433355, 598.5587063716483, 269.93580467168715, 327.0110919703129,0.0, 0.0, 0.0625, 2.0, 7.9375,37.6875, 55.9375, 75.25, 95.0625, 112.5625,0.75, 3.75, 6.3125, 9.5, 13.25, 3.75789475440979,-2.966322183609009, 262.1875
0, 160.0, 532, 935, 892, 1295, 0.0,0.8550397520884871, 1.0552855666191316, 0.22864201676333323, -1.34944554889109,-0.0018653258702943276, -0.00048056252515380035, 0.00027491781198477836, 2.1345569549566716e-05, -0.0009289651330101378,588.7459716796875, 27.288400855138903, 155.625, 267.625, 622, 1070,165.62501525878906, 237.62501525878906, 662, 950, 16.493471145629883, 238.0985819620363, 12.440621771951422, 263.5490875884302, 22.400894909315053, 224.29129526710747,21.837228868297956, 247.54025298006837, 25.302051379011665, 297.26108313850546, 30.234448711701006, 282.814249496688,342.678815746025, 592.3594685995764, 793.1887526613583, 636.2446665701814, -21.203402559457736, 410.81094894090165, -27.812584495232855, 636.2446665701814, -21.203402559457736,36.93935167659421, 902.1862686636996, 844.0421547897126, 58.14411387398695, 260.2702337115477,0.0, 0.0, 0.1875, 0.9375, 1.8125,42.625, 62.6875, 87.875, 105.625, 117.3125,0.125, 2.75, 5.75, 8.375, 9.8125, 4.052631855010986,-3.22393798828125, 290.9375
