CS_MOD: UH_Thresh: 150.0, u_rad: 5.0, track_on: 100.0 min
Mode, Time, x1, y1, x2, y2, zs_surface, w500m, w1km, w3km, w5km,zvort_suf, zvort500m, zvort1km, zvort3km, zvort5km,UH_Max, UH_Area, UH_X, UH_Y, UHi, UHj,SX, SY, SXi, SYj, meanWnd, meanWnd_dir, rm, rm_dir, lm, lm_dir,shear1km, shear1km_dir, shear3km, shear3km_dir, shear6km, shear6km_dir,srh500m, srh1km, srh3km, sbcape, sbcin, mlcape, mlcin, mucape, mucin,3CAPE, LCL, LFC, LFC-LCL, EL,wA500m, wA1km, wA3km, wA5km, wA8km,zA500m, zA1km, zA3km, zA5km, zA8km,wzA500m, wzA1km, wzA3km, wzA5km, wzA8km, meso_depth, CP_Min, CP_area
bool, min, idx, idx, idx, idx, km,ms^-1, ms^-1, ms^-1, ms^-1,s^-1, s^-1, s^-1, s^-1, s^-1,m^2s^-2, m^2s^-2, km, km, idx, idx,km, km, idx, idx, ms^-1, deg, ms^-1, deg, ms^-1, deg,ms^-1, deg, ms^-1, deg, ms^-1, deg,m^2s^-2, m^2s^-2, m^2s^-2, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1,Jkg^-1, hPa, hPa, hPa, hPa,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2, km, K, km^2
0, 5.0, 172, 523, 532, 883, 0.02408470344543457,2.0622630957514048, 3.516835820376873, 4.608751367330552, 2.611229139603674,9.211378323215058e-07, -3.282078075642403e-05, 2.8218081344135725e-05, 0.00014723591834126638, 7.085979540548239e-05,6.745291233062744, 3.3312559317654795, 65.625, 164.62501525878906, 262, 658,75.625, 134.625, 302, 538, 19.507055282592773, 255.47966487129122, 16.0792061516608, 277.1904314747856, 24.79938703227273, 241.60220256927715,12.1869461770603, 247.59504475759022, 38.51498667045091, 277.4598046591265, 41.67694728674784, 284.852186699723,177.38979005809483, 268.3862236741883, 615.4727571767414, 1792.642954991586, -6.703819297573172, 1270.6206883894813, -25.602140896647636, 1792.642954991586, -6.703819297573172,92.25302205798661, 903.9624811913848, 872.155014151911, 31.80746703947375, 192.19911245242452,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,-0.01578798145055771, 0.0
0, 10.0, 176, 510, 536, 870, 0.024255439758300783,2.1892451498657466, 3.7565059082210066, 5.144374043010175, 2.058899197205901,9.72602875577877e-06, -1.5855662038575247e-05, 0.0002664284674483497, 0.0008845777792157603, 0.00024566183143178935,20.85805892944336, 10.399143267944455, 66.625, 161.37501525878906, 266, 645,76.625, 131.375, 306, 525, 18.073802947998047, 241.9277772560422, 13.19248869614114, 263.1774139609265, 24.32658815459016, 230.59251426853692,11.001649450780778, 241.77654320743977, 41.56891399359686, 281.7650231571473, 41.11934785446436, 288.4360415987421,161.87809831848145, 227.86266129341317, 746.3225224214566, 1584.3955175076867, -13.60933669925175, 1038.5739588083547, -24.806903186974775, 1584.3955175076867, -13.60933669925175,88.4188563310688, 901.8887014630687, 862.8986654517112, 38.990036011357574, 200.05477260910882,0.0, 0.0, 0.0, 0.0, 0.0,0.0625, 6.5625, 13.4375, 13.875, 12.3125,0.0, 0.0, 0.875, 2.4375, 3.4375, 0.0,-0.1448306441307068, 0.0
0, 15.0, 264, 554, 624, 914, 0.02851613235473633,0.6113558103935793, 1.0277949087932938, 2.784365412266925, 4.488207348331342,-0.0005279625324590143, -0.0004724153025313171, -0.0005831579051329072, -0.0001554669296803013, 0.00030649177786870043,39.868770599365234, 12.290093758650027, 88.62500762939453, 172.37501525878906, 354, 689,98.62500762939453, 142.375, 394, 569, 19.539844512939453, 240.00802964640505, 13.866215547015189, 257.14564976463123, 26.150318761711805, 231.0188703191627,11.879754458324905, 252.06368236169274, 21.25414845355155, 274.38602828732405, 25.077336533958945, 287.26809291104826,59.58644660170174, 97.83491908060319, 159.07906328232662, 1638.9399377548696, -21.856855984730853, 1131.1694308072158, -67.54297812162432, 1638.9399377548696, -21.856855984730853,19.037589788102405, 903.8385846221006, 777.8735035754373, 125.96508104666327, 194.8608399301818,0.0, 0.0, 0.375, 0.625, 0.8125,4.625, 20.6875, 35.4375, 46.6875, 47.3125,0.0625, 2.0625, 5.375, 7.125, 6.5625, 0.0,-0.01782383769750595, 0.0
0, 20.0, 281, 488, 641, 848, 0.02946604537963867,0.44904046793293667, 0.6070966256177053, 1.9243059996029472, 1.50398717045784,-0.0009957512723428863, -0.0011925786547874395, -0.001362282593861437, 9.84880985924974e-05, 3.2973196209695742e-06,56.92988967895508, 10.90276403489319, 92.87500762939453, 155.875, 371, 623,102.87500762939453, 125.87500762939453, 411, 503, 19.502431869506836, 258.488089993115, 16.22761130438672, 280.35144160786786, 24.695230166812884, 244.32364654442003,11.939897744066025, 251.45643756334357, 20.380129355572926, 274.63068566339393, 25.132469972231753, 287.0028630051983,103.52115292463593, 176.3967891546038, 282.132419125498, 1665.5889646058324, -16.225954140374565, 1150.1603328387191, -53.00179286738034, 1665.5889646058324, -16.225954140374565,39.623568427840894, 903.8101187548523, 805.594062126903, 98.21605662794923, 192.26538180259567,0.0, 0.0, 0.0, 0.0, 0.0,1.3125, 7.9375, 16.25, 22.5, 21.0,0.0, 0.0, 0.0625, 0.0625, 0.1875, 0.32105231285095215,-0.26733535528182983, 0.0
0, 25.0, 208, 507, 568, 867, 0.025688362121582032,0.7756323997688014, 1.128912377891829, 0.5091066298913207, -3.2918206365033984,0.0015329477184332064, 0.0017182265987412393, 0.0008859752008083888, 0.00013824095399627367, 8.933203596484419e-05,540.9577026367188, 8.78570466956808, 74.625, 160.625, 298, 642,84.62500762939453, 130.625, 338, 522, 19.3004207611084, 256.0048654373302, 16.12068408908929, 278.2074544438186, 24.446595419198488, 241.57557482236035,34.13132648372825, 247.16160095286122, 43.242053556751316, 279.57626171686, 37.20966102399763, 285.35460175469086,671.9886903876979, 1033.787918856764, 1620.1435845965864, 792.3944865165872, -51.22113743480747, 321.3347978818441, -3.241389055048858, 792.3944865165872, -51.22113743480747,47.87097013425623, 873.73819759033, 628.9362492650536, 244.80194832527638, 195.88343553782272,0.0, 0.0, 0.8125, 1.0, 5.75,29.4375, 61.6875, 86.625, 96.4375, 94.5,1.1875, 5.875, 11.875, 15.5625, 17.5625, 3.6263158321380615,-0.231109619140625, 0.0
0, 30.0, 237, 518, 597, 878, 0.027098093032836914,-0.09889959910186008, 0.042352592824026945, -0.6590213589859195, -2.6033819095540096,-0.00015189117230647752, -0.0008765496320756938, -0.0002526431471051183, 2.834773444817529e-05, -6.152650923695547e-05,971.1355590820312, 15.410735619262407, 81.87500762939453, 163.37501525878906, 327, 653,91.87500762939453, 133.375, 367, 533, 21.802793502807617, 243.50051027470766, 16.21933407151616, 258.80298712880847, 28.287044007585187, 234.79681574119562,9.158580147727045, 244.98479234362148, 19.384816696611953, 285.8449273748277, 23.767673708678803, 285.76974065244417,86.05514699755467, 106.05279705272287, 336.54085214741303, 2269.6339120552207, -5.1278139902307265, 1880.2786067593836, -14.43168139093741, 2269.6339120552207, -5.1278139902307265,90.812527096842, 902.5408273605672, 892.5387200861976, 10.002107274369564, 181.7703415385351,0.0, 0.0, 0.25, 3.375, 13.0,38.125, 63.75, 86.375, 94.9375, 107.25,0.5, 5.125, 9.875, 12.375, 16.4375, 2.1157894134521484,-0.8217867612838745, 0.0
0, 35.0, 261, 636, 621, 996, 0.02835321617126465,0.8887820554408244, 1.3730785618373194, 1.9256711784168146, 3.08813420725055,-0.00020738776080406752, 0.00032104056658681656, 0.00014658673604571958, -0.00011669170269669849, -0.0007499988693439264,939.310546875, 40.150781135415414, 87.87500762939453, 192.87501525878906, 351, 771,97.87500762939453, 162.87501525878906, 391, 651, 18.238454818725586, 246.4505782602629, 13.419112585812247, 267.6172954106315, 24.448105896865826, 235.01933305967518,13.452922852907234, 252.86061517367148, 28.020868570555717, 279.5939655671887, 29.805765488509294, 297.9755755672021,189.89175720485102, 264.3279927444594, 537.7409719006477, 1471.4926845235052, -179.0885105069782, 1595.1709432521184, -72.9422628362622, 1851.9311018863045, -1.1928740024885474,0, 868.7225373041138, 633.1056609284681, 235.6168763756457, 198.95705974903981,0.0, 0.0, 0.25, 1.3125, 2.75,43.125, 67.5, 95.4375, 113.5, 124.4375,0.0625, 1.6875, 3.6875, 7.8125, 13.5625, 2.247368335723877,-1.207183837890625, 4.6875
0, 40.0, 286, 640, 646, 1000, 0.029754348754882812,0.21076454815454781, 0.2919508117879741, 0.7804576917178929, 0.8676404041179923,-0.00015569669061619607, -0.00038347502073520444, -8.043021603043599e-05, 0.0002793447973499497, -0.00024525768301316477,1497.74560546875, 33.1890775022142, 94.12500762939453, 193.87501525878906, 376, 775,104.12500762939453, 163.87501525878906, 416, 655, 22.52745246887207, 238.24482997254458, 15.839280365135886, 248.55295905367865, 29.607252922502216, 232.75147498321525,20.439514946576818, 237.82710926328494, 23.354311460296774, 283.6270966494329, 24.853296899048686, 286.3207866543025,67.77726381856561, 193.52019024418726, 596.295415839549, 1579.211828918506, -129.57119358170206, 1216.5365624145986, -154.66795929697028, 1579.211828918506, -129.57119358170206,12.900925668833535, 904.4651893892739, 630.3501267446443, 274.1150626446296, 192.911726959813,0.0, 0.0, 0.125, 0.8125, 1.875,28.625, 52.4375, 82.8125, 103.25, 122.0625,0.0, 1.3125, 2.625, 6.1875, 10.1875, 5.484210968017578,-1.23187255859375, 1.625
0, 45.0, 307, 527, 667, 887, 0.031011951446533202,-0.1365490426623728, -0.2915510249917861, 0.35293119129026307, -1.3889634429966098,-0.0002440104948732369, -0.000261782440134084, -0.00020849644624831853, 0.0008199533589436215, 8.016877202862816e-05,823.8590087890625, 31.76520008000755, 99.37500762939453, 165.62501525878906, 397, 662,109.37500762939453, 135.625, 437, 542, 23.07509422302246, 248.11654336109905, 17.715178079566606, 263.02520195755085, 29.38694282443556, 239.19429658608703,8.312393968207608, 237.80055348779194, 24.65351598287281, 283.4080251619939, 27.46977266317226, 293.03585981604385,108.93311115169546, 128.17715353722002, 353.589782668733, 1404.2878869469325, -9.2284099874137, 937.0617012173831, -7.827639263056877, 1404.2878869469325, -9.2284099874137,89.53031280024533, 901.5241078759203, 881.9956434147464, 19.52846446117394, 205.46659679164017,0.0, 0.0, 0.0, 0.0, 0.0,19.125, 27.1875, 46.0, 59.1875, 65.125,0.0, 0.3125, 1.1875, 2.0625, 1.6875, 3.5315792560577393,-1.240875244140625, 0.625
