NC_RLTRN_ALL: UH_Thresh: 150.0, u_rad: 5.0, track_on: 240.0 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode, Time, x1, y1, x2, y2, zs_surface, w500m, w1km, w3km, w5km,zvort_suf, zvort500m, zvort1km, zvort3km, zvort5km,UH_Max, UH_Area, UH_X, UH_Y, UHi, UHj,SX, SY, SXi, SYj, meanWnd, meanWnd_dir, rm, rm_dir, lm, lm_dir,shear1km, shear1km_dir, shear3km, shear3km_dir, shear6km, shear6km_dir,srh500m, srh1km, srh3km, sbcape, sbcin, mlcape, mlcin, mucape, mucin,3CAPE, LCL, LFC, LFC-LCL, EL,wA500m, wA1km, wA3km, wA5km, wA8km,zA500m, zA1km, zA3km, zA5km, zA8km,wzA500m, wzA1km, wzA3km, wzA5km, wzA8km, meso_depth, CP_Min, CP_area
bool, min, idx, idx, idx, idx, km,ms^-1, ms^-1, ms^-1, ms^-1,s^-1, s^-1, s^-1, s^-1, s^-1,m^2s^-2, m^2s^-2, km, km, idx, idx,km, km, idx, idx, ms^-1, deg, ms^-1, deg, ms^-1, deg,ms^-1, deg, ms^-1, deg, ms^-1, deg,m^2s^-2, m^2s^-2, m^2s^-2, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1, Jkg^-1,Jkg^-1, hPa, hPa, hPa, hPa,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2,km^2, km^2, km^2, km^2, km^2, km, K, km^2
0,120,1601,957,1961,1317,0,0.308463849,0.342115421,0.288306231,-0.076330237,0.000240189,0.000355373,0.000335054,0.000164905,-7.22E-05,265.8414001,2.662767863,422.8750305,273.125,1691,1092,432.8750305,243.1250153,1731,972,14.05736637,240.2772757,12.89584958,272.2201702,18.47745067,218.6077045,8.650918353,223.1378449,15.60380676,255.2301444,23.87809241,257.7361681,58.46830897,109.3840067,185.74927,1049.844496,-5.879619563,913.6691131,-14.45471255,1049.844496,-5.879619563,75.60746709,890.7457412,865.18607,25.55967112,244.9786656,0,0,0,0,0,1.5625,1.125,1.75,1.375,1.5,0,0,0,0,0,1.49473691,-1.45803833,0.5625
0,125,1338,901,1698,1261,0.542167419,-0.075544153,-0.028409139,0.263341258,0.130876274,-8.06E-05,0.000197345,0.000168347,-4.55E-05,-0.000138325,327.2170715,6.124197361,357.1250305,259.125,1428,1036,367.1250305,229.1250153,1468,916,14.04088783,240.6415434,13.27498423,272.3555811,18.18152452,218.0711731,5.612828395,228.6516927,13.5870337,260.755904,21.07192048,264.724162,52.07530583,88.82272241,163.8846882,944.6710473,-3.51396186,695.9274941,-25.08624343,988.1290249,-0.488674944,121.7015325,884.9709312,868.67744,16.29349119,244.3930004,0,0,0,0,0,3.125,1.9375,2.3125,1.6875,2,0,0,0,0,0,2.026315451,-0.833618164,0
0,130,1614,974,1974,1334,0.021111967,0.103845871,0.157637388,0.244529789,0.30713382,-0.000223173,-9.63E-05,4.67E-05,-1.69E-05,6.94E-05,226.83284,4.970385625,426.1250305,277.375,1704,1109,436.1250305,247.3750153,1744,989,16.20861626,242.3183958,13.78306271,269.785644,21.1652002,224.8387658,8.645105106,221.0070854,16.37703385,252.0662369,24.28349015,258.8335473,48.42972116,107.997042,188.3204537,1032.490952,-3.64218394,908.1947942,-11.12190763,1032.490952,-3.64218394,94.79300024,891.4051048,873.7289665,17.67613823,244.6300372,0,0,0,0,0,1.875,2.3125,2.375,2.5625,1.875,0,0,0,0,0,1.215789557,-0.915649414,0
0,135,1634,978,1994,1338,0.011870984,-0.105582081,-0.185220734,-0.183158356,-0.08123814,-0.000219123,-3.20E-05,-0.000173858,3.12E-05,5.80E-05,206.2321014,3.140757649,431.1250305,278.375,1724,1113,441.1250305,248.3750153,1764,993,14.05373859,240.3722153,13.25850271,272.0781829,18.21338146,217.8783971,9.004356367,218.0352838,16.1463717,251.4932113,23.80307531,258.3910603,51.63204166,113.0398423,199.6112818,1040.619392,-3.887849988,914.5885691,-13.58802159,1040.619392,-3.887849988,83.77202261,891.4593454,869.0947156,22.36462974,242.3544443,0,0,0,0,0,1.75,1,1.625,2.125,1.875,0,0,0,0,0,1.278947353,-1.078643799,0.125
0,140,599,805,959,1165,0,-0.072749192,-0.031976935,0.69688357,2.424012056,1.27E-05,-0.000657293,-0.001004891,-0.000609479,-0.000442003,309.0549622,19.81925812,172.3750153,235.1250153,689,940,182.3750153,205.1250153,729,820,14.07472801,240.8365316,13.271807,272.4983424,18.23609195,218.378081,8.525319641,225.0465003,17.78761365,259.4773473,24.73265222,263.8666727,60.99978197,122.8784371,229.1744358,1039.628455,-7.77700531,862.2468373,-17.94946146,1039.628455,-7.77700531,57.43964841,892.523329,858.4570347,34.06629422,238.7745742,0,0,0,0,0.75,0.75,6.4375,18.3125,30,30.6875,0,0,0.75,2.375,5.1875,0,-0.389844596,0
0,145,537,883,897,1243,0,0.875464485,1.333596448,0.945266881,-1.355027164,0.000135103,-0.000142561,0.000424357,0.000197298,-1.43E-05,910.7984009,28.86375013,156.875,254.6250153,627,1018,166.8750153,224.6250153,667,898,13.75402069,237.1124939,11.72406821,270.144946,18.79873319,217.2376001,26.53534763,232.5298194,36.83639347,283.6641299,25.34269216,261.0450396,328.3678402,550.3034978,1048.157755,448.0042188,-280.3008107,138.4208181,-347.4318068,448.0042188,-280.3008107,0,892.419217,537.3007216,355.1184954,236.1373896,0,0.5625,2.375,19,36.125,21.4375,35.6875,56,76.5625,92.125,2.0625,7.5625,13.25,21.9375,27.8125,3.531579256,-1.720428467,108.5625
0,150,546,839,906,1199,0,0.877024027,1.05066576,-0.807280026,-3.440755848,-6.01E-05,0.001463143,0.000989922,5.81E-05,0.000363749,810.2660522,18.45326031,159.125,243.6250153,636,974,169.1250153,213.6250153,676,854,18.56492805,231.4537231,15.66521067,254.8546857,23.58843389,216.1605394,7.036034239,226.437318,24.02512957,279.8204956,29.32631009,272.5123162,103.1389259,133.8659612,347.0085059,1424.964366,-8.369382999,1278.678795,-17.23362365,1424.964366,-8.369382999,93.4511488,892.0797832,856.7993634,35.28041972,229.5069759,0,0.4375,2.8125,7.375,14.8125,20.8125,29.75,46.9375,60.25,81.4375,0.875,6,11.4375,19.1875,26.125,4.5,-2.4190979,214.5
0,155,520,931,880,1291,0,1.40523227,1.931557163,0.804420535,-0.462399836,-0.00159832,-0.000754031,-0.000192783,6.19E-06,-0.000284837,961.0686646,51.02211512,152.625,266.625,610,1066,162.6250153,236.6250153,650,946,15.94816494,222.9864196,10.14358218,244.5076293,22.76610734,213.5791967,25.54309918,254.8656445,25.44458748,283.9693301,29.98677247,270.0841702,301.6026197,419.9739253,562.6238462,127.9884021,-242.412876,66.36514957,-235.7864731,127.9884021,-242.412876,0,868.494511,598.5587064,269.9358047,327.011092,0,0,0.0625,2,7.9375,37.6875,55.9375,75.25,95.0625,112.5625,0.75,3.75,6.3125,9.5,13.25,3.757894754,-2.966322184,262.1875
0,160,532,935,892,1295,0,0.855039752,1.055285567,0.228642017,-1.349445549,-0.001865326,-0.000480563,0.000274918,2.13E-05,-0.000928965,588.7459717,27.28840086,155.625,267.625,622,1070,165.6250153,237.6250153,662,950,16.49347115,238.098582,12.44062177,263.5490876,22.40089491,224.2912953,21.83722887,247.540253,25.30205138,297.2610831,30.23444871,282.8142495,342.6788157,592.3594686,793.1887527,636.2446666,-21.20340256,410.8109489,-27.8125845,636.2446666,-21.20340256,36.93935168,902.1862687,844.0421548,58.14411387,260.2702337,0,0,0.1875,0.9375,1.8125,42.625,62.6875,87.875,105.625,117.3125,0.125,2.75,5.75,8.375,9.8125,4.052631855,-3.223937988,290.9375
